"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"738",12301,"PORVENIR","Promovido",470
"739",12301,"PORVENIR","Reprobado",2
"740",12301,"PORVENIR","Retirado",28
"741",12302,"PRIMAVERA","Promovido",38
"742",12302,"PRIMAVERA","Reprobado",2
"743",12302,"PRIMAVERA","Retirado",3
"744",12303,"TIMAUKEL","Promovido",19
"745",12303,"TIMAUKEL","Retirado",2
"746",12401,"NATALES","Promovido",1557
"747",12401,"NATALES","Reprobado",23
"748",12401,"NATALES","Retirado",26
"749",12402,"TORRES DEL PAINE","Promovido",20
"750",13101,"SANTIAGO","Promovido",21892
"751",13101,"SANTIAGO","Reprobado",266
"752",13101,"SANTIAGO","Retirado",1044
"753",13102,"CERRILLOS","Promovido",4734
"754",13102,"CERRILLOS","Reprobado",79
"755",13102,"CERRILLOS","Retirado",178
"756",13103,"CERRO NAVIA","Promovido",6947
"757",13103,"CERRO NAVIA","Reprobado",189
"758",13103,"CERRO NAVIA","Retirado",326
"759",13104,"CONCHALÍ","Promovido",8812
"760",13104,"CONCHALÍ","Reprobado",231
"761",13104,"CONCHALÍ","Retirado",411
"762",13105,"EL BOSQUE","Promovido",13061
"763",13105,"EL BOSQUE","Reprobado",308
"764",13105,"EL BOSQUE","Retirado",580
"765",13106,"ESTACIÓN CENTRAL","Promovido",9680
"766",13106,"ESTACIÓN CENTRAL","Reprobado",185
"767",13106,"ESTACIÓN CENTRAL","Retirado",467
"768",13107,"HUECHURABA","Promovido",5726
"769",13107,"HUECHURABA","Reprobado",47
"770",13107,"HUECHURABA","Retirado",202
"771",13108,"INDEPENDENCIA","Promovido",7281
"772",13108,"INDEPENDENCIA","Reprobado",81
"773",13108,"INDEPENDENCIA","Retirado",501
"774",13109,"LA CISTERNA","Promovido",8519
"775",13109,"LA CISTERNA","Reprobado",71
"776",13109,"LA CISTERNA","Retirado",329
"777",13110,"LA FLORIDA","Promovido",26912
"778",13110,"LA FLORIDA","Reprobado",588
"779",13110,"LA FLORIDA","Retirado",1125
"780",13111,"LA GRANJA","Promovido",7514
"781",13111,"LA GRANJA","Reprobado",189
"782",13111,"LA GRANJA","Retirado",343
"783",13112,"LA PINTANA","Promovido",12767
"784",13112,"LA PINTANA","Reprobado",432
"785",13112,"LA PINTANA","Retirado",712
"786",13113,"LA REINA","Promovido",8778
"787",13113,"LA REINA","Reprobado",97
"788",13113,"LA REINA","Retirado",468
"789",13114,"LAS CONDES","Promovido",14216
"790",13114,"LAS CONDES","Reprobado",73
"791",13114,"LAS CONDES","Retirado",418
"792",13115,"LO BARNECHEA","Promovido",8134
"793",13115,"LO BARNECHEA","Reprobado",74
"794",13115,"LO BARNECHEA","Retirado",234
"795",13116,"LO ESPEJO","Promovido",4506
"796",13116,"LO ESPEJO","Reprobado",159
"797",13116,"LO ESPEJO","Retirado",250
"798",13116,"LO ESPEJO",NA,1
"799",13117,"LO PRADO","Promovido",5152
"800",13117,"LO PRADO","Reprobado",110
"801",13117,"LO PRADO","Retirado",293
"802",13118,"MACUL","Promovido",6334
"803",13118,"MACUL","Reprobado",56
"804",13118,"MACUL","Retirado",292
"805",13119,"MAIPÚ","Promovido",33130
"806",13119,"MAIPÚ","Reprobado",429
"807",13119,"MAIPÚ","Retirado",1329
"808",13120,"ÑUÑOA","Promovido",11477
"809",13120,"ÑUÑOA","Reprobado",108
"810",13120,"ÑUÑOA","Retirado",572
"811",13121,"PEDRO AGUIRRE CERDA","Promovido",6835
"812",13121,"PEDRO AGUIRRE CERDA","Reprobado",97
"813",13121,"PEDRO AGUIRRE CERDA","Retirado",317
"814",13122,"PEÑALOLÉN","Promovido",14241
"815",13122,"PEÑALOLÉN","Reprobado",302
"816",13122,"PEÑALOLÉN","Retirado",690
"817",13123,"PROVIDENCIA","Promovido",9183
"818",13123,"PROVIDENCIA","Reprobado",14
"819",13123,"PROVIDENCIA","Retirado",418
"820",13124,"PUDAHUEL","Promovido",13023
"821",13124,"PUDAHUEL","Reprobado",273
"822",13124,"PUDAHUEL","Retirado",413
"823",13125,"QUILICURA","Promovido",15309
"824",13125,"QUILICURA","Reprobado",231
"825",13125,"QUILICURA","Retirado",708
"826",13126,"QUINTA NORMAL","Promovido",9759
"827",13126,"QUINTA NORMAL","Reprobado",223
"828",13126,"QUINTA NORMAL","Retirado",437
"829",13127,"RECOLETA","Promovido",11460
"830",13127,"RECOLETA","Reprobado",226
"831",13127,"RECOLETA","Retirado",480
"832",13128,"RENCA","Promovido",9252
"833",13128,"RENCA","Reprobado",232
"834",13128,"RENCA","Retirado",374
"835",13129,"SAN JOAQUÍN","Promovido",4151
"836",13129,"SAN JOAQUÍN","Reprobado",114
"837",13129,"SAN JOAQUÍN","Retirado",243
"838",13130,"SAN MIGUEL","Promovido",8021
"839",13130,"SAN MIGUEL","Reprobado",80
"840",13130,"SAN MIGUEL","Retirado",321
"841",13131,"SAN RAMÓN","Promovido",5328
"842",13131,"SAN RAMÓN","Reprobado",151
"843",13131,"SAN RAMÓN","Retirado",244
"844",13132,"VITACURA","Promovido",7768
"845",13132,"VITACURA","Reprobado",30
"846",13132,"VITACURA","Retirado",229
"847",13201,"PUENTE ALTO","Promovido",35837
"848",13201,"PUENTE ALTO","Reprobado",892
"849",13201,"PUENTE ALTO","Retirado",1452
"850",13202,"PIRQUE","Promovido",1464
"851",13202,"PIRQUE","Reprobado",9
"852",13202,"PIRQUE","Retirado",33
"853",13203,"SAN JOSÉ DE MAIPO","Promovido",971
"854",13203,"SAN JOSÉ DE MAIPO","Reprobado",31
"855",13203,"SAN JOSÉ DE MAIPO","Retirado",50
"856",13301,"COLINA","Promovido",14744
"857",13301,"COLINA","Reprobado",289
"858",13301,"COLINA","Retirado",543
"859",13301,"COLINA",NA,1
"860",13302,"LAMPA","Promovido",8488
