"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Rural",274,5.7
"2",1101,"IQUIQUE","Urbano",15411,5.8
"3",1107,"ALTO HOSPICIO","Rural",2599,5.6
"4",1107,"ALTO HOSPICIO","Urbano",7791,5.4
"5",1401,"POZO ALMONTE","Rural",897,5.7
"6",1401,"POZO ALMONTE","Urbano",481,5.4
"7",1402,"CAMIÑA","Rural",106,6
"8",1403,"COLCHANE","Rural",51,5.8
"9",1404,"HUARA","Rural",223,5.7
"10",1405,"PICA","Rural",332,5.5
"11",1405,"PICA","Urbano",161,5.8
"12",2101,"ANTOFAGASTA","Urbano",28739,5.6
"13",2102,"MEJILLONES","Rural",16,6.5
"14",2102,"MEJILLONES","Urbano",1044,5.4
"15",2103,"SIERRA GORDA","Rural",43,5.3
"16",2103,"SIERRA GORDA","Urbano",89,5.8
"17",2104,"TALTAL","Rural",26,5.4
"18",2104,"TALTAL","Urbano",965,6
"19",2201,"CALAMA","Rural",81,5.4
"20",2201,"CALAMA","Urbano",13874,5.7
"21",2202,"OLLAGÜE","Rural",21,5.8
"22",2203,"SAN PEDRO DE ATACAMA","Rural",714,5.6
"23",2301,"TOCOPILLA","Urbano",2241,5.7
"24",2302,"MARÍA ELENA","Rural",16,5.1
"25",2302,"MARÍA ELENA","Urbano",365,5.4
"26",3101,"COPIAPÓ","Rural",137,5.3
"27",3101,"COPIAPÓ","Urbano",13388,5.6
"28",3102,"CALDERA","Rural",15,4.8
"29",3102,"CALDERA","Urbano",1554,5.6
"30",3103,"TIERRA AMARILLA","Rural",116,5.7
"31",3103,"TIERRA AMARILLA","Urbano",912,5.5
"32",3201,"CHAÑARAL","Urbano",1156,5.7
"33",3202,"DIEGO DE ALMAGRO","Rural",24,5.7
"34",3202,"DIEGO DE ALMAGRO","Urbano",1283,5.8
"35",3301,"VALLENAR","Rural",133,5.7
"36",3301,"VALLENAR","Urbano",4131,5.8
"37",3302,"ALTO DEL CARMEN","Rural",360,5.9
"38",3303,"FREIRINA","Rural",75,5.2
"39",3303,"FREIRINA","Urbano",438,5.7
"40",3304,"HUASCO","Rural",30,5
"41",3304,"HUASCO","Urbano",808,5.8
"42",4101,"LA SERENA","Rural",846,5.5
"43",4101,"LA SERENA","Urbano",19058,5.6
"44",4102,"COQUIMBO","Rural",628,5.3
"45",4102,"COQUIMBO","Urbano",15785,5.6
"46",4103,"ANDACOLLO","Rural",189,5.6
"47",4103,"ANDACOLLO","Urbano",708,5.7
"48",4104,"LA HIGUERA","Rural",224,5.7
"49",4104,"LA HIGUERA","Urbano",132,5.3
"50",4105,"PAIGUANO","Rural",145,5.3
"51",4105,"PAIGUANO","Urbano",176,5.6
"52",4106,"VICUÑA","Rural",199,5.6
"53",4106,"VICUÑA","Urbano",2009,5.6
"54",4201,"ILLAPEL","Rural",619,5.5
"55",4201,"ILLAPEL","Urbano",1779,5.7
"56",4202,"CANELA","Rural",233,5.6
"57",4202,"CANELA","Urbano",337,6
"58",4203,"LOS VILOS","Rural",393,6
"59",4203,"LOS VILOS","Urbano",1294,5.7
"60",4204,"SALAMANCA","Rural",593,5.7
"61",4204,"SALAMANCA","Urbano",1537,5.7
"62",4301,"OVALLE","Rural",1312,5.5
"63",4301,"OVALLE","Urbano",7708,5.6
"64",4302,"COMBARBALÁ","Rural",388,5.7
"65",4302,"COMBARBALÁ","Urbano",453,6
"66",4303,"MONTE PATRIA","Rural",981,5.5
"67",4303,"MONTE PATRIA","Urbano",1441,5.5
"68",4304,"PUNITAQUI","Rural",231,5.6
"69",4304,"PUNITAQUI","Urbano",629,5.4
"70",4305,"RÍO HURTADO","Rural",264,5.5
"71",5101,"VALPARAÍSO","Urbano",18617,5.5
"72",5102,"CASABLANCA","Urbano",1944,5.6
"73",5103,"CONCÓN","Urbano",3228,5.7
"74",5104,"JUAN FERNÁNDEZ","Rural",73,5.9
"75",5105,"PUCHUNCAVÍ","Rural",319,5.4
"76",5105,"PUCHUNCAVÍ","Urbano",821,5.5
"77",5107,"QUINTERO","Rural",120,5.5
"78",5107,"QUINTERO","Urbano",2095,5.4
"79",5109,"VIÑA DEL MAR","Urbano",20948,5.6
"80",5201,"ISLA DE PASCUA","Urbano",597,5.7
"81",5301,"LOS ANDES","Rural",63,5.4
"82",5301,"LOS ANDES","Urbano",5838,5.6
"83",5302,"CALLE LARGA","Rural",95,5.3
"84",5302,"CALLE LARGA","Urbano",903,5.7
"85",5303,"RINCONADA","Urbano",700,5.4
"86",5304,"SAN ESTEBAN","Rural",153,5.8
"87",5304,"SAN ESTEBAN","Urbano",573,5.5
"88",5401,"LA LIGUA","Rural",545,5.7
"89",5401,"LA LIGUA","Urbano",1989,5.9
"90",5402,"CABILDO","Rural",392,5.8
"91",5402,"CABILDO","Urbano",1151,5.7
"92",5403,"PAPUDO","Rural",81,5.5
"93",5403,"PAPUDO","Urbano",211,5.8
"94",5404,"PETORCA","Rural",434,5.8
"95",5404,"PETORCA","Urbano",287,6.2
"96",5405,"ZAPALLAR","Rural",248,5.5
"97",5405,"ZAPALLAR","Urbano",339,5.9
"98",5501,"QUILLOTA","Rural",247,5.1
