"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"1",1101,"IQUIQUE","Promovido",15740
"2",1101,"IQUIQUE","Reprobado",178
"3",1101,"IQUIQUE","Retirado",1198
"4",1107,"ALTO HOSPICIO","Promovido",10551
"5",1107,"ALTO HOSPICIO","Reprobado",280
"6",1107,"ALTO HOSPICIO","Retirado",836
"7",1401,"POZO ALMONTE","Promovido",1378
"8",1401,"POZO ALMONTE","Reprobado",10
"9",1401,"POZO ALMONTE","Retirado",76
"10",1401,"POZO ALMONTE",NA,4
"11",1402,"CAMIÑA","Promovido",101
"12",1402,"CAMIÑA","Reprobado",3
"13",1402,"CAMIÑA","Retirado",8
"14",1403,"COLCHANE","Promovido",49
"15",1403,"COLCHANE","Retirado",1
"16",1404,"HUARA","Promovido",224
"17",1404,"HUARA","Reprobado",2
"18",1404,"HUARA","Retirado",29
"19",1405,"PICA","Promovido",518
"20",1405,"PICA","Reprobado",11
"21",1405,"PICA","Retirado",24
"22",2101,"ANTOFAGASTA","Promovido",28592
"23",2101,"ANTOFAGASTA","Reprobado",424
"24",2101,"ANTOFAGASTA","Retirado",1854
"25",2102,"MEJILLONES","Promovido",1094
"26",2102,"MEJILLONES","Reprobado",24
"27",2102,"MEJILLONES","Retirado",71
"28",2103,"SIERRA GORDA","Promovido",126
"29",2103,"SIERRA GORDA","Reprobado",3
"30",2103,"SIERRA GORDA","Retirado",11
"31",2104,"TALTAL","Promovido",965
"32",2104,"TALTAL","Retirado",23
"33",2201,"CALAMA","Promovido",14097
"34",2201,"CALAMA","Reprobado",131
"35",2201,"CALAMA","Retirado",902
"36",2202,"OLLAGÜE","Promovido",20
"37",2202,"OLLAGÜE","Reprobado",1
"38",2203,"SAN PEDRO DE ATACAMA","Promovido",709
"39",2203,"SAN PEDRO DE ATACAMA","Reprobado",11
"40",2203,"SAN PEDRO DE ATACAMA","Retirado",74
"41",2301,"TOCOPILLA","Promovido",2177
"42",2301,"TOCOPILLA","Reprobado",35
"43",2301,"TOCOPILLA","Retirado",118
"44",2302,"MARÍA ELENA","Promovido",363
"45",2302,"MARÍA ELENA","Reprobado",21
"46",2302,"MARÍA ELENA","Retirado",18
"47",3101,"COPIAPÓ","Promovido",13496
"48",3101,"COPIAPÓ","Reprobado",182
"49",3101,"COPIAPÓ","Retirado",852
"50",3102,"CALDERA","Promovido",1556
"51",3102,"CALDERA","Reprobado",14
"52",3102,"CALDERA","Retirado",111
"53",3103,"TIERRA AMARILLA","Promovido",938
"54",3103,"TIERRA AMARILLA","Reprobado",52
"55",3103,"TIERRA AMARILLA","Retirado",95
"56",3201,"CHAÑARAL","Promovido",1111
"57",3201,"CHAÑARAL","Reprobado",7
"58",3201,"CHAÑARAL","Retirado",62
"59",3202,"DIEGO DE ALMAGRO","Promovido",1260
"60",3202,"DIEGO DE ALMAGRO","Reprobado",7
"61",3202,"DIEGO DE ALMAGRO","Retirado",75
"62",3301,"VALLENAR","Promovido",4253
"63",3301,"VALLENAR","Reprobado",39
"64",3301,"VALLENAR","Retirado",171
"65",3302,"ALTO DEL CARMEN","Promovido",351
"66",3302,"ALTO DEL CARMEN","Reprobado",5
"67",3302,"ALTO DEL CARMEN","Retirado",38
"68",3303,"FREIRINA","Promovido",548
"69",3303,"FREIRINA","Reprobado",3
"70",3303,"FREIRINA","Retirado",14
"71",3304,"HUASCO","Promovido",808
"72",3304,"HUASCO","Reprobado",7
"73",3304,"HUASCO","Retirado",70
"74",4101,"LA SERENA","Promovido",20113
"75",4101,"LA SERENA","Reprobado",445
"76",4101,"LA SERENA","Retirado",1715
"77",4102,"COQUIMBO","Promovido",16676
"78",4102,"COQUIMBO","Reprobado",337
"79",4102,"COQUIMBO","Retirado",1272
"80",4102,"COQUIMBO",NA,44
"81",4103,"ANDACOLLO","Promovido",901
"82",4103,"ANDACOLLO","Reprobado",7
"83",4103,"ANDACOLLO","Retirado",55
"84",4104,"LA HIGUERA","Promovido",365
"85",4104,"LA HIGUERA","Reprobado",7
"86",4104,"LA HIGUERA","Retirado",31
"87",4105,"PAIGUANO","Promovido",307
"88",4105,"PAIGUANO","Reprobado",4
"89",4105,"PAIGUANO","Retirado",51
"90",4106,"VICUÑA","Promovido",2189
"91",4106,"VICUÑA","Reprobado",60
"92",4106,"VICUÑA","Retirado",168
"93",4201,"ILLAPEL","Promovido",2337
"94",4201,"ILLAPEL","Reprobado",32
"95",4201,"ILLAPEL","Retirado",131
"96",4201,"ILLAPEL",NA,38
"97",4202,"CANELA","Promovido",564
"98",4202,"CANELA","Reprobado",4
"99",4202,"CANELA","Retirado",23
"100",4203,"LOS VILOS","Promovido",1699
"101",4203,"LOS VILOS","Reprobado",27
"102",4203,"LOS VILOS","Retirado",136
"103",4204,"SALAMANCA","Promovido",2132
"104",4204,"SALAMANCA","Reprobado",21
"105",4204,"SALAMANCA","Retirado",174
"106",4301,"OVALLE","Promovido",9122
"107",4301,"OVALLE","Reprobado",145
"108",4301,"OVALLE","Retirado",523
"109",4302,"COMBARBALÁ","Promovido",823
"110",4302,"COMBARBALÁ","Reprobado",5
"111",4302,"COMBARBALÁ","Retirado",51
"112",4303,"MONTE PATRIA","Promovido",2359
"113",4303,"MONTE PATRIA","Reprobado",55
"114",4303,"MONTE PATRIA","Retirado",145
"115",4304,"PUNITAQUI","Promovido",866
"116",4304,"PUNITAQUI","Reprobado",13
"117",4304,"PUNITAQUI","Retirado",82
"118",4305,"RÍO HURTADO","Promovido",259
"119",4305,"RÍO HURTADO","Reprobado",2
"120",4305,"RÍO HURTADO","Retirado",16
"121",5101,"VALPARAÍSO","Promovido",18496
"122",5101,"VALPARAÍSO","Reprobado",277
"123",5101,"VALPARAÍSO","Retirado",1785
"124",5102,"CASABLANCA","Promovido",1994
"125",5102,"CASABLANCA","Reprobado",38
"126",5102,"CASABLANCA","Retirado",141
"127",5103,"CONCÓN","Promovido",3225
"128",5103,"CONCÓN","Reprobado",43
"129",5103,"CONCÓN","Retirado",145
"130",5104,"JUAN FERNÁNDEZ","Promovido",80
"131",5104,"JUAN FERNÁNDEZ","Retirado",8
"132",5105,"PUCHUNCAVÍ","Promovido",1094
"133",5105,"PUCHUNCAVÍ","Reprobado",37
"134",5105,"PUCHUNCAVÍ","Retirado",140
"135",5107,"QUINTERO","Promovido",2168
"136",5107,"QUINTERO","Reprobado",85
"137",5107,"QUINTERO","Retirado",210
"138",5109,"VIÑA DEL MAR","Promovido",20785
"139",5109,"VIÑA DEL MAR","Reprobado",517
"140",5109,"VIÑA DEL MAR","Retirado",2191
"141",5201,"ISLA DE PASCUA","Promovido",572
"142",5201,"ISLA DE PASCUA","Reprobado",9
"143",5201,"ISLA DE PASCUA","Retirado",69
"144",5301,"LOS ANDES","Promovido",5736
"145",5301,"LOS ANDES","Reprobado",107
"146",5301,"LOS ANDES","Retirado",409
"147",5302,"CALLE LARGA","Promovido",1034
"148",5302,"CALLE LARGA","Reprobado",23
"149",5302,"CALLE LARGA","Retirado",70
"150",5303,"RINCONADA","Promovido",706
"151",5303,"RINCONADA","Reprobado",17
"152",5303,"RINCONADA","Retirado",31
"153",5304,"SAN ESTEBAN","Promovido",766
"154",5304,"SAN ESTEBAN","Reprobado",7
"155",5304,"SAN ESTEBAN","Retirado",58
"156",5401,"LA LIGUA","Promovido",2541
"157",5401,"LA LIGUA","Reprobado",18
"158",5401,"LA LIGUA","Retirado",183
"159",5402,"CABILDO","Promovido",1502
"160",5402,"CABILDO","Reprobado",1
"161",5402,"CABILDO","Retirado",66
"162",5403,"PAPUDO","Promovido",313
"163",5403,"PAPUDO","Reprobado",4
"164",5403,"PAPUDO","Retirado",24
"165",5404,"PETORCA","Promovido",691
"166",5404,"PETORCA","Reprobado",2
"167",5404,"PETORCA","Retirado",57
"168",5405,"ZAPALLAR","Promovido",620
"169",5405,"ZAPALLAR","Reprobado",8
"170",5405,"ZAPALLAR","Retirado",45
"171",5501,"QUILLOTA","Promovido",7402
"172",5501,"QUILLOTA","Reprobado",188
"173",5501,"QUILLOTA","Retirado",400
"174",5502,"CALERA","Promovido",4448
"175",5502,"CALERA","Reprobado",82
"176",5502,"CALERA","Retirado",305
"177",5503,"HIJUELAS","Promovido",1117
"178",5503,"HIJUELAS","Reprobado",19
"179",5503,"HIJUELAS","Retirado",77
"180",5504,"LA CRUZ","Promovido",724
"181",5504,"LA CRUZ","Reprobado",22
"182",5504,"LA CRUZ","Retirado",61
"183",5506,"NOGALES","Promovido",1351
"184",5506,"NOGALES","Reprobado",25
"185",5506,"NOGALES","Retirado",58
"186",5601,"SAN ANTONIO","Promovido",6708
"187",5601,"SAN ANTONIO","Reprobado",78
"188",5601,"SAN ANTONIO","Retirado",625
"189",5602,"ALGARROBO","Promovido",957
"190",5602,"ALGARROBO","Reprobado",14
"191",5602,"ALGARROBO","Retirado",84
"192",5603,"CARTAGENA","Promovido",1866
"193",5603,"CARTAGENA","Reprobado",20
"194",5603,"CARTAGENA","Retirado",199
"195",5604,"EL QUISCO","Promovido",929
"196",5604,"EL QUISCO","Reprobado",5
"197",5604,"EL QUISCO","Retirado",77
"198",5605,"EL TABO","Promovido",448
"199",5605,"EL TABO","Reprobado",4
"200",5605,"EL TABO","Retirado",55
"201",5606,"SANTO DOMINGO","Promovido",928
"202",5606,"SANTO DOMINGO","Reprobado",8
"203",5606,"SANTO DOMINGO","Retirado",48
"204",5701,"SAN FELIPE","Promovido",6071
"205",5701,"SAN FELIPE","Reprobado",149
"206",5701,"SAN FELIPE","Retirado",441
"207",5702,"CATEMU","Promovido",845
"208",5702,"CATEMU","Reprobado",21
"209",5702,"CATEMU","Retirado",66
"210",5703,"LLAILLAY","Promovido",2062
"211",5703,"LLAILLAY","Reprobado",47
