"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Rural",372,6
"2",1101,"IQUIQUE","Urbano",15369,5.9
"3",1107,"ALTO HOSPICIO","Rural",2615,6
"4",1107,"ALTO HOSPICIO","Urbano",8627,5.7
"5",1401,"POZO ALMONTE","Rural",1442,5.8
"6",1402,"CAMIÑA","Rural",122,5.7
"7",1403,"COLCHANE","Rural",84,5.8
"8",1404,"HUARA","Rural",233,5.9
"9",1405,"PICA","Rural",605,5.9
"10",2101,"ANTOFAGASTA","Urbano",28095,5.8
"11",2102,"MEJILLONES","Rural",17,6
"12",2102,"MEJILLONES","Urbano",1245,5.8
"13",2103,"SIERRA GORDA","Urbano",137,6.1
"14",2104,"TALTAL","Rural",27,5.7
"15",2104,"TALTAL","Urbano",923,6
"16",2201,"CALAMA","Rural",108,6.1
"17",2201,"CALAMA","Urbano",13979,5.9
"18",2202,"OLLAGÜE","Rural",25,5.9
"19",2203,"SAN PEDRO DE ATACAMA","Rural",164,6.2
"20",2203,"SAN PEDRO DE ATACAMA","Urbano",583,5.9
"21",2301,"TOCOPILLA","Urbano",2122,5.8
"22",2302,"MARÍA ELENA","Rural",23,6.2
"23",2302,"MARÍA ELENA","Urbano",343,5.7
"24",3101,"COPIAPÓ","Rural",179,5.8
"25",3101,"COPIAPÓ","Urbano",13063,5.8
"26",3102,"CALDERA","Rural",9,6.7
"27",3102,"CALDERA","Urbano",1472,5.9
"28",3103,"TIERRA AMARILLA","Rural",112,5.7
"29",3103,"TIERRA AMARILLA","Urbano",741,5.5
"30",3201,"CHAÑARAL","Urbano",1015,6
"31",3202,"DIEGO DE ALMAGRO","Rural",22,5.4
"32",3202,"DIEGO DE ALMAGRO","Urbano",1053,5.9
"33",3301,"VALLENAR","Rural",155,6.2
"34",3301,"VALLENAR","Urbano",4164,5.9
"35",3302,"ALTO DEL CARMEN","Rural",335,5.7
"36",3303,"FREIRINA","Rural",109,5.8
"37",3303,"FREIRINA","Urbano",482,5.7
"38",3304,"HUASCO","Rural",35,5.1
"39",3304,"HUASCO","Urbano",823,6
"40",4101,"LA SERENA","Rural",1032,5.9
"41",4101,"LA SERENA","Urbano",20015,5.9
"42",4102,"COQUIMBO","Rural",662,5.8
"43",4102,"COQUIMBO","Urbano",16725,5.9
"44",4103,"ANDACOLLO","Rural",180,5.7
"45",4103,"ANDACOLLO","Urbano",632,6
"46",4104,"LA HIGUERA","Rural",237,5.7
"47",4104,"LA HIGUERA","Urbano",141,5.6
"48",4105,"PAIGUANO","Rural",146,6
"49",4105,"PAIGUANO","Urbano",180,6
"50",4106,"VICUÑA","Rural",173,6
"51",4106,"VICUÑA","Urbano",1897,5.9
"52",4201,"ILLAPEL","Rural",623,5.7
"53",4201,"ILLAPEL","Urbano",1772,5.9
"54",4202,"CANELA","Rural",262,5.9
"55",4202,"CANELA","Urbano",313,6.4
"56",4203,"LOS VILOS","Rural",442,6
"57",4203,"LOS VILOS","Urbano",1312,6
"58",4204,"SALAMANCA","Rural",605,5.9
"59",4204,"SALAMANCA","Urbano",1512,6
"60",4301,"OVALLE","Rural",1408,5.8
"61",4301,"OVALLE","Urbano",7792,5.9
"62",4302,"COMBARBALÁ","Rural",339,5.7
"63",4302,"COMBARBALÁ","Urbano",484,6
"64",4303,"MONTE PATRIA","Rural",989,5.8
"65",4303,"MONTE PATRIA","Urbano",1399,5.7
"66",4304,"PUNITAQUI","Rural",232,5.7
"67",4304,"PUNITAQUI","Urbano",661,5.7
"68",4305,"RÍO HURTADO","Rural",249,5.9
"69",5101,"VALPARAÍSO","Urbano",18276,5.8
"70",5102,"CASABLANCA","Urbano",2132,6
"71",5103,"CONCÓN","Urbano",3420,6
"72",5104,"JUAN FERNÁNDEZ","Rural",68,5.6
"73",5105,"PUCHUNCAVÍ","Rural",406,5.7
"74",5105,"PUCHUNCAVÍ","Urbano",988,5.8
"75",5107,"QUINTERO","Rural",173,5.6
"76",5107,"QUINTERO","Urbano",2207,5.7
"77",5109,"VIÑA DEL MAR","Urbano",21012,5.9
"78",5201,"ISLA DE PASCUA","Urbano",612,5.8
"79",5301,"LOS ANDES","Rural",58,6
"80",5301,"LOS ANDES","Urbano",5670,6
"81",5302,"CALLE LARGA","Rural",167,5.9
"82",5302,"CALLE LARGA","Urbano",1038,5.9
"83",5303,"RINCONADA","Urbano",628,6
"84",5304,"SAN ESTEBAN","Rural",165,5.9
"85",5304,"SAN ESTEBAN","Urbano",612,5.9
"86",5401,"LA LIGUA","Rural",663,5.9
"87",5401,"LA LIGUA","Urbano",2074,6.1
"88",5402,"CABILDO","Rural",374,6
"89",5402,"CABILDO","Urbano",1029,5.8
"90",5403,"PAPUDO","Rural",149,6.1
"91",5403,"PAPUDO","Urbano",275,6
"92",5404,"PETORCA","Rural",389,6.1
"93",5404,"PETORCA","Urbano",252,6.2
"94",5405,"ZAPALLAR","Rural",316,5.8
"95",5405,"ZAPALLAR","Urbano",410,6
"96",5501,"QUILLOTA","Rural",287,5.8
"97",5501,"QUILLOTA","Urbano",7357,5.9
"98",5502,"CALERA","Rural",123,6
"99",5502,"CALERA","Urbano",4252,5.9
"100",5503,"HIJUELAS","Rural",434,6.1
"101",5503,"HIJUELAS","Urbano",669,6
"102",5504,"LA CRUZ","Rural",166,6.1
"103",5504,"LA CRUZ","Urbano",546,5.9
"104",5506,"NOGALES","Rural",59,5.8
"105",5506,"NOGALES","Urbano",1298,5.8
"106",5601,"SAN ANTONIO","Rural",226,5.8
"107",5601,"SAN ANTONIO","Urbano",7173,5.8
"108",5602,"ALGARROBO","Rural",199,5.9
"109",5602,"ALGARROBO","Urbano",860,5.9
"110",5603,"CARTAGENA","Rural",143,5.8
"111",5603,"CARTAGENA","Urbano",1660,5.9
"112",5604,"EL QUISCO","Rural",175,5.8
"113",5604,"EL QUISCO","Urbano",788,6
"114",5605,"EL TABO","Urbano",507,5.8
"115",5606,"SANTO DOMINGO","Rural",231,6.2
"116",5606,"SANTO DOMINGO","Urbano",690,6.1
"117",5701,"SAN FELIPE","Rural",413,5.7
"118",5701,"SAN FELIPE","Urbano",5695,5.8
"119",5702,"CATEMU","Rural",407,5.8
"120",5702,"CATEMU","Urbano",423,5.8
"121",5703,"LLAILLAY","Rural",358,5.4
"122",5703,"LLAILLAY","Urbano",1895,5.8
"123",5704,"PANQUEHUE","Rural",152,5.8
"124",5704,"PANQUEHUE","Urbano",532,6
"125",5705,"PUTAENDO","Rural",342,5.9
"126",5705,"PUTAENDO","Urbano",718,6.1
"127",5706,"SANTA MARÍA","Rural",252,5.7
"128",5706,"SANTA MARÍA","Urbano",744,5.8
"129",5801,"QUILPUÉ","Rural",98,6
"130",5801,"QUILPUÉ","Urbano",10978,5.9
"131",5802,"LIMACHE","Rural",75,5.8
"132",5802,"LIMACHE","Urbano",3379,5.9
"133",5803,"OLMUÉ","Rural",211,5.8
"134",5803,"OLMUÉ","Urbano",762,5.8
"135",5804,"VILLA ALEMANA","Rural",42,6.1
"136",5804,"VILLA ALEMANA","Urbano",8856,5.9
"137",6101,"RANCAGUA","Rural",986,5.5
"138",6101,"RANCAGUA","Urbano",17702,5.8
"139",6102,"CODEGUA","Rural",269,5.7
"140",6102,"CODEGUA","Urbano",421,6
"141",6103,"COINCO","Rural",341,5.9
"142",6103,"COINCO","Urbano",126,6
"143",6104,"COLTAUCO","Rural",838,5.6
"144",6104,"COLTAUCO","Urbano",566,5.7
"145",6105,"DOÑIHUE","Rural",570,5.9
"146",6105,"DOÑIHUE","Urbano",1101,5.9
"147",6106,"GRANEROS","Rural",273,5.8
"148",6106,"GRANEROS","Urbano",2796,5.8
"149",6107,"LAS CABRAS","Rural",754,5.7
"150",6107,"LAS CABRAS","Urbano",1223,5.8
"151",6108,"MACHALÍ","Rural",285,5.8
"152",6108,"MACHALÍ","Urbano",4480,6
"153",6109,"MALLOA","Rural",307,5.7
"154",6109,"MALLOA","Urbano",343,5.7
"155",6110,"MOSTAZAL","Rural",546,5.7
"156",6110,"MOSTAZAL","Urbano",1331,5.8
"157",6111,"OLIVAR","Rural",262,5.7
"158",6111,"OLIVAR","Urbano",544,5.8
"159",6112,"PEUMO","Rural",478,5.9
"160",6112,"PEUMO","Urbano",467,5.7
"161",6113,"PICHIDEGUA","Rural",873,5.9
"162",6113,"PICHIDEGUA","Urbano",263,6.1
"163",6114,"QUINTA DE TILCOCO","Rural",398,5.9
"164",6114,"QUINTA DE TILCOCO","Urbano",508,5.9
"165",6115,"RENGO","Rural",1038,5.9
"166",6115,"RENGO","Urbano",3704,5.9
"167",6116,"REQUÍNOA","Rural",689,5.8
"168",6116,"REQUÍNOA","Urbano",1007,6
"169",6117,"SAN VICENTE","Rural",950,5.8
"170",6117,"SAN VICENTE","Urbano",2410,5.9
"171",6201,"PICHILEMU","Rural",475,5.9
"172",6201,"PICHILEMU","Urbano",891,6
"173",6202,"LA ESTRELLA","Rural",39,6.3
"174",6202,"LA ESTRELLA","Urbano",188,5.7
