"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Rural",278,5.9
"2",1101,"IQUIQUE","Urbano",15640,5.8
"3",1107,"ALTO HOSPICIO","Rural",2651,5.6
"4",1107,"ALTO HOSPICIO","Urbano",8180,5.5
"5",1401,"POZO ALMONTE","Rural",908,5.7
"6",1401,"POZO ALMONTE","Urbano",480,5.6
"7",1402,"CAMIÑA","Rural",104,5.8
"8",1403,"COLCHANE","Rural",49,6.1
"9",1404,"HUARA","Rural",226,5.6
"10",1405,"PICA","Rural",362,5.6
"11",1405,"PICA","Urbano",167,5.8
"12",2101,"ANTOFAGASTA","Urbano",29018,5.7
"13",2102,"MEJILLONES","Rural",16,6.1
"14",2102,"MEJILLONES","Urbano",1102,5.5
"15",2103,"SIERRA GORDA","Rural",41,6.2
"16",2103,"SIERRA GORDA","Urbano",88,5.5
"17",2104,"TALTAL","Rural",35,5.4
"18",2104,"TALTAL","Urbano",930,6
"19",2201,"CALAMA","Rural",80,5.6
"20",2201,"CALAMA","Urbano",14148,5.7
"21",2202,"OLLAGÜE","Rural",21,5.7
"22",2203,"SAN PEDRO DE ATACAMA","Rural",720,5.7
"23",2301,"TOCOPILLA","Urbano",2212,5.7
"24",2302,"MARÍA ELENA","Rural",21,5.3
"25",2302,"MARÍA ELENA","Urbano",363,5.3
"26",3101,"COPIAPÓ","Rural",140,5.6
"27",3101,"COPIAPÓ","Urbano",13538,5.6
"28",3102,"CALDERA","Rural",16,5.9
"29",3102,"CALDERA","Urbano",1554,5.6
"30",3103,"TIERRA AMARILLA","Rural",112,5.9
"31",3103,"TIERRA AMARILLA","Urbano",878,5.4
"32",3201,"CHAÑARAL","Urbano",1118,5.8
"33",3202,"DIEGO DE ALMAGRO","Rural",24,6.2
"34",3202,"DIEGO DE ALMAGRO","Urbano",1243,5.8
"35",3301,"VALLENAR","Rural",134,5.8
"36",3301,"VALLENAR","Urbano",4158,5.8
"37",3302,"ALTO DEL CARMEN","Rural",356,5.6
"38",3303,"FREIRINA","Rural",84,5.6
"39",3303,"FREIRINA","Urbano",467,5.7
"40",3304,"HUASCO","Rural",30,5.4
"41",3304,"HUASCO","Urbano",785,5.8
"42",4101,"LA SERENA","Rural",933,5.5
"43",4101,"LA SERENA","Urbano",19625,5.6
"44",4102,"COQUIMBO","Rural",650,5.5
"45",4102,"COQUIMBO","Urbano",16363,5.6
"46",4103,"ANDACOLLO","Rural",198,5.5
"47",4103,"ANDACOLLO","Urbano",710,5.7
