"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"270",7408,"YERBAS BUENAS","Municipal",750,5.8
"271",7408,"YERBAS BUENAS","Particular Subvencionado",72,6.1
"272",8101,"CONCEPCIÓN","Particular Pagado",2234,5.8
"273",8101,"CONCEPCIÓN","Particular Subvencionado",9669,5.8
"274",8101,"CONCEPCIÓN","Servicio Local de Educación",3069,5.6
"275",8102,"CORONEL","Municipal",3328,5.5
"276",8102,"CORONEL","Particular Subvencionado",5737,5.7
"277",8103,"CHIGUAYANTE","Particular Pagado",519,5.4
"278",8103,"CHIGUAYANTE","Particular Subvencionado",4641,5.8
"279",8103,"CHIGUAYANTE","Servicio Local de Educación",701,5.6
"280",8104,"FLORIDA","Particular Subvencionado",24,4.3
"281",8104,"FLORIDA","Servicio Local de Educación",661,5.7
"282",8105,"HUALQUI","Particular Subvencionado",718,6
"283",8105,"HUALQUI","Servicio Local de Educación",970,5.8
"284",8106,"LOTA","Municipal",1528,5.4
"285",8106,"LOTA","Particular Subvencionado",1790,5.8
"286",8107,"PENCO","Municipal",1769,5.7
"287",8107,"PENCO","Particular Subvencionado",1307,5.8
"288",8108,"SAN PEDRO DE LA PAZ","Municipal",1917,5.5
"289",8108,"SAN PEDRO DE LA PAZ","Particular Pagado",1637,5.7
"290",8108,"SAN PEDRO DE LA PAZ","Particular Subvencionado",6549,5.7
"291",8109,"SANTA JUANA","Municipal",400,5.5
"292",8109,"SANTA JUANA","Particular Subvencionado",637,5.8
"293",8110,"TALCAHUANO","Municipal",3590,5.6
"294",8110,"TALCAHUANO","Particular Pagado",565,6.1
"295",8110,"TALCAHUANO","Particular Subvencionado",5026,5.7
"296",8111,"TOMÉ","Municipal",2959,5.5
"297",8111,"TOMÉ","Particular Subvencionado",688,5.8
"298",8112,"HUALPÉN","Municipal",1874,5.7
"299",8112,"HUALPÉN","Particular Pagado",746,5.9
"300",8112,"HUALPÉN","Particular Subvencionado",2673,5.7
"301",8201,"LEBU","Municipal",1835,5.7
"302",8201,"LEBU","Particular Subvencionado",91,5.2
"303",8202,"ARAUCO","Municipal",1880,5.6
"304",8202,"ARAUCO","Particular Pagado",138,6.3
"305",8202,"ARAUCO","Particular Subvencionado",761,5.6
"306",8203,"CAÑETE","Municipal",1630,5.6
"307",8203,"CAÑETE","Particular Subvencionado",1122,5.9
"308",8204,"CONTULMO","Municipal",280,5.8
"309",8204,"CONTULMO","Particular Subvencionado",179,5.4
"310",8205,"CURANILAHUE","Municipal",1641,5.5
"311",8205,"CURANILAHUE","Particular Subvencionado",688,5.7
"312",8206,"LOS ÁLAMOS","Municipal",972,5.6
"313",8206,"LOS ÁLAMOS","Particular Subvencionado",894,5.8
"314",8207,"TIRÚA","Municipal",590,5.8
"315",8207,"TIRÚA","Particular Subvencionado",341,5.6
"316",8301,"LOS ÁNGELES","Municipal",5135,5.7
"317",8301,"LOS ÁNGELES","Particular Pagado",988,5.7
"318",8301,"LOS ÁNGELES","Particular Subvencionado",9821,5.7
"319",8302,"ANTUCO","Municipal",190,5.5
"320",8302,"ANTUCO","Particular Subvencionado",52,5.8
"321",8303,"CABRERO","Municipal",988,5.5
"322",8303,"CABRERO","Particular Subvencionado",1027,6
"323",8304,"LAJA","Municipal",1168,5.6
"324",8304,"LAJA","Particular Subvencionado",556,5.6
"325",8305,"MULCHÉN","Municipal",1510,5.7
"326",8305,"MULCHÉN","Particular Subvencionado",540,5.7
"327",8306,"NACIMIENTO","Municipal",1170,5.9
"328",8306,"NACIMIENTO","Particular Subvencionado",853,6
"329",8307,"NEGRETE","Municipal",666,5.5
"330",8307,"NEGRETE","Particular Subvencionado",3,6
"331",8308,"QUILACO","Municipal",216,5.6
"332",8309,"QUILLECO","Municipal",480,5.8
"333",8310,"SAN ROSENDO","Municipal",152,5
"334",8311,"SANTA BÁRBARA","Municipal",608,5.6
"335",8311,"SANTA BÁRBARA","Particular Subvencionado",400,5.5
"336",8312,"TUCAPEL","Municipal",650,5.6
"337",8312,"TUCAPEL","Particular Subvencionado",225,5.6
"338",8313,"YUMBEL","Municipal",591,5.7
"339",8313,"YUMBEL","Particular Subvencionado",772,5.8
"340",8314,"ALTO BIOBÍO","Municipal",428,5.5
"341",8314,"ALTO BIOBÍO","Particular Subvencionado",172,6
"342",9101,"TEMUCO","Municipal",5293,5.7
"343",9101,"TEMUCO","Particular Pagado",2175,6.1
"344",9101,"TEMUCO","Particular Subvencionado",13378,5.8
"345",9102,"CARAHUE","Particular Subvencionado",920,5.7
"346",9102,"CARAHUE","Servicio Local de Educación",1005,5.9
"347",9103,"CUNCO","Municipal",541,5.9
"348",9103,"CUNCO","Particular Subvencionado",682,5.9
"349",9104,"CURARREHUE","Municipal",245,5.7
"350",9104,"CURARREHUE","Particular Subvencionado",392,5.8
"351",9105,"FREIRE","Municipal",518,5.8
"352",9105,"FREIRE","Particular Subvencionado",929,5.4
"353",9106,"GALVARINO","Municipal",810,5.9
"354",9106,"GALVARINO","Particular Subvencionado",218,5.4
"355",9107,"GORBEA","Municipal",667,5.6
"356",9107,"GORBEA","Particular Subvencionado",213,6
"357",9108,"LAUTARO","Municipal",1652,5.7
"358",9108,"LAUTARO","Particular Subvencionado",1316,5.8
"359",9109,"LONCOCHE","Municipal",800,5.3
"360",9109,"LONCOCHE","Particular Subvencionado",871,5.7
"361",9110,"MELIPEUCO","Municipal",173,5.8
"362",9110,"MELIPEUCO","Particular Subvencionado",280,5.9
"363",9111,"NUEVA IMPERIAL","Particular Subvencionado",1791,5.7
"364",9111,"NUEVA IMPERIAL","Servicio Local de Educación",666,5.5
"365",9112,"PADRE LAS CASAS","Municipal",788,5.9
"366",9112,"PADRE LAS CASAS","Particular Subvencionado",4383,5.7
"367",9113,"PERQUENCO","Municipal",405,5.8
"368",9113,"PERQUENCO","Particular Subvencionado",152,5.4
"369",9114,"PITRUFQUÉN","Municipal",610,5.7
"370",9114,"PITRUFQUÉN","Particular Subvencionado",1408,5.8
"371",9115,"PUCÓN","Municipal",1040,5.8
"372",9115,"PUCÓN","Particular Subvencionado",1215,5.8
"373",9116,"SAAVEDRA","Particular Subvencionado",593,5.7
"374",9116,"SAAVEDRA","Servicio Local de Educación",377,5.8
"375",9117,"TEODORO SCHMIDT","Particular Subvencionado",659,5.6
"376",9117,"TEODORO SCHMIDT","Servicio Local de Educación",401,5.6
"377",9118,"TOLTÉN","Particular Subvencionado",374,6.1
"378",9118,"TOLTÉN","Servicio Local de Educación",363,5.8
"379",9119,"VILCÚN","Municipal",761,5.6
"380",9119,"VILCÚN","Particular Subvencionado",1465,5.8
"381",9120,"VILLARRICA","Municipal",1192,6
"382",9120,"VILLARRICA","Particular Pagado",231,6.2
"383",9120,"VILLARRICA","Particular Subvencionado",3797,5.8
"384",9121,"CHOLCHOL","Municipal",272,5.6
"385",9121,"CHOLCHOL","Particular Subvencionado",768,5.6
"386",9201,"ANGOL","Municipal",2026,5.9
"387",9201,"ANGOL","Particular Pagado",143,5.7
"388",9201,"ANGOL","Particular Subvencionado",1839,5.6
"389",9202,"COLLIPULLI","Municipal",1254,5.5
"390",9202,"COLLIPULLI","Particular Subvencionado",847,5.8
"391",9203,"CURACAUTÍN","Municipal",849,5.2
"392",9203,"CURACAUTÍN","Particular Subvencionado",362,5.9
"393",9204,"ERCILLA","Municipal",413,5.3
"394",9204,"ERCILLA","Particular Subvencionado",257,5.5
"395",9205,"LONQUIMAY","Municipal",647,5.7
"396",9205,"LONQUIMAY","Particular Subvencionado",178,5.6
"397",9206,"LOS SAUCES","Municipal",386,5.7
"398",9206,"LOS SAUCES","Particular Subvencionado",77,5.6
"399",9207,"LUMACO","Municipal",548,5.7
"400",9207,"LUMACO","Particular Subvencionado",123,5.6
"401",9208,"PURÉN","Municipal",589,5.7
"402",9208,"PURÉN","Particular Subvencionado",244,6.1
"403",9209,"RENAICO","Municipal",392,5.7
"404",9209,"RENAICO","Particular Subvencionado",338,5.9
"405",9210,"TRAIGUÉN","Municipal",693,5.5
"406",9210,"TRAIGUÉN","Particular Subvencionado",662,5.7
"407",9211,"VICTORIA","Municipal",1151,5.6
"408",9211,"VICTORIA","Particular Subvencionado",1358,5.7
"409",10101,"PUERTO MONTT","Municipal",7817,5.6
"410",10101,"PUERTO MONTT","Particular Pagado",1377,6.1
"411",10101,"PUERTO MONTT","Particular Subvencionado",10378,5.9
"412",10102,"CALBUCO","Municipal",1416,5.8
"413",10102,"CALBUCO","Particular Subvencionado",1094,5.8
"414",10103,"COCHAMÓ","Municipal",220,5.7
"415",10104,"FRESIA","Particular Subvencionado",390,5.6
"416",10104,"FRESIA","Servicio Local de Educación",373,5.7
"417",10105,"FRUTILLAR","Particular Pagado",230,6.1
"418",10105,"FRUTILLAR","Particular Subvencionado",474,5.2
"419",10105,"FRUTILLAR","Servicio Local de Educación",899,5.9
"420",10106,"LOS MUERMOS","Particular Subvencionado",642,6
"421",10106,"LOS MUERMOS","Servicio Local de Educación",665,5.9
"422",10107,"LLANQUIHUE","Particular Subvencionado",377,5.7
"423",10107,"LLANQUIHUE","Servicio Local de Educación",716,5.7
"424",10108,"MAULLIN","Municipal",622,5.9
"425",10108,"MAULLIN","Particular Subvencionado",224,5.8
"426",10109,"PUERTO VARAS","Particular Pagado",1350,6.2
"427",10109,"PUERTO VARAS","Particular Subvencionado",1106,5.7
"428",10109,"PUERTO VARAS","Servicio Local de Educación",1458,5.6
"429",10201,"CASTRO","Municipal",1977,5.7
"430",10201,"CASTRO","Particular Subvencionado",1569,5.9
"431",10202,"ANCUD","Municipal",756,5.7
"432",10202,"ANCUD","Particular Subvencionado",2063,5.8
"433",10203,"CHONCHI","Municipal",904,5.8
"434",10204,"CURACO DE VÉLEZ","Municipal",171,5.6
"435",10205,"DALCAHUE","Municipal",434,5.7
"436",10205,"DALCAHUE","Particular Subvencionado",668,6
"437",10206,"PUQUELDÓN","Municipal",180,5.8
"438",10206,"PUQUELDÓN","Particular Subvencionado",73,6.1
"439",10207,"QUEILÉN","Municipal",245,6.2
"440",10207,"QUEILÉN","Particular Subvencionado",103,6.3
"441",10208,"QUELLÓN","Municipal",1072,5.7
"442",10208,"QUELLÓN","Particular Subvencionado",1121,6
"443",10209,"QUEMCHI","Municipal",391,5.8
"444",10209,"QUEMCHI","Particular Subvencionado",138,5
"445",10210,"QUINCHAO","Municipal",345,5.8
"446",10210,"QUINCHAO","Particular Subvencionado",177,5.7
"447",10301,"OSORNO","Municipal",3840,5.7
"448",10301,"OSORNO","Particular Pagado",1313,6.1
"449",10301,"OSORNO","Particular Subvencionado",6569,5.7
"450",10302,"PUERTO OCTAY","Municipal",359,5.5
"451",10302,"PUERTO OCTAY","Particular Subvencionado",192,5.8
