"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"106",5601,"SAN ANTONIO","Rural",210,5.3
"107",5601,"SAN ANTONIO","Urbano",6727,4.8
"108",5602,"ALGARROBO","Rural",191,5
"109",5602,"ALGARROBO","Urbano",812,4.7
"110",5603,"CARTAGENA","Rural",133,5.1
"111",5603,"CARTAGENA","Urbano",1701,4.7
"112",5604,"EL QUISCO","Rural",157,5.5
"113",5604,"EL QUISCO","Urbano",794,4.9
"114",5605,"EL TABO","Urbano",463,4.4
"115",5606,"SANTO DOMINGO","Rural",183,5.5
"116",5606,"SANTO DOMINGO","Urbano",826,5.2
"117",5701,"SAN FELIPE","Rural",417,4.9
"118",5701,"SAN FELIPE","Urbano",5712,5.1
"119",5702,"CATEMU","Rural",386,5.3
"120",5702,"CATEMU","Urbano",464,4.7
"121",5703,"LLAILLAY","Rural",324,5
"122",5703,"LLAILLAY","Urbano",1801,4.9
"123",5704,"PANQUEHUE","Rural",136,5.1
"124",5704,"PANQUEHUE","Urbano",424,5.5
"125",5705,"PUTAENDO","Rural",335,5.2
"126",5705,"PUTAENDO","Urbano",690,5.5
"127",5706,"SANTA MARÍA","Rural",228,5.2
"128",5706,"SANTA MARÍA","Urbano",757,5
"129",5801,"QUILPUÉ","Rural",87,5.3
"130",5801,"QUILPUÉ","Urbano",10901,4.9
"131",5802,"LIMACHE","Rural",70,4.7
"132",5802,"LIMACHE","Urbano",3380,5
"133",5803,"OLMUÉ","Rural",164,4.9
"134",5803,"OLMUÉ","Urbano",739,4.1
"135",5804,"VILLA ALEMANA","Rural",30,5.4
"136",5804,"VILLA ALEMANA","Urbano",8667,4.9
"137",6101,"RANCAGUA","Rural",876,4.9
"138",6101,"RANCAGUA","Urbano",17879,5
"139",6102,"CODEGUA","Rural",257,5.3
"140",6102,"CODEGUA","Urbano",440,5.3
"141",6103,"COINCO","Rural",309,5.6
"142",6103,"COINCO","Urbano",126,4.2
"143",6104,"COLTAUCO","Rural",787,5.5
"144",6104,"COLTAUCO","Urbano",581,5.3
"145",6105,"DOÑIHUE","Rural",577,4.7
"146",6105,"DOÑIHUE","Urbano",1061,5.1
"147",6106,"GRANEROS","Rural",250,5
"148",6106,"GRANEROS","Urbano",2851,5.3
"149",6107,"LAS CABRAS","Rural",635,5.4
"150",6107,"LAS CABRAS","Urbano",1193,4.3
"151",6108,"MACHALÍ","Rural",249,5.3
"152",6108,"MACHALÍ","Urbano",4375,5.1
"153",6109,"MALLOA","Rural",331,5.4
