"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Municipal",4961,5.6
"2",1101,"IQUIQUE","Particular Pagado",1652,6.1
"3",1101,"IQUIQUE","Particular Subvencionado",9305,5.8
"4",1107,"ALTO HOSPICIO","Municipal",366,5.3
"5",1107,"ALTO HOSPICIO","Particular Subvencionado",10465,5.5
"6",1401,"POZO ALMONTE","Municipal",1221,5.6
"7",1401,"POZO ALMONTE","Particular Subvencionado",167,6.1
"8",1402,"CAMIÑA","Municipal",104,5.8
"9",1403,"COLCHANE","Municipal",49,6.1
"10",1404,"HUARA","Municipal",226,5.6
"11",1405,"PICA","Municipal",529,5.6
"12",2101,"ANTOFAGASTA","Municipal",14620,5.6
"13",2101,"ANTOFAGASTA","Particular Pagado",3218,6.1
"14",2101,"ANTOFAGASTA","Particular Subvencionado",11180,5.7
"15",2102,"MEJILLONES","Municipal",1118,5.5
"16",2103,"SIERRA GORDA","Municipal",129,5.7
"17",2104,"TALTAL","Municipal",965,6
"18",2201,"CALAMA","Municipal",7793,5.6
"19",2201,"CALAMA","Particular Pagado",1264,6.1
"20",2201,"CALAMA","Particular Subvencionado",5171,5.7
"21",2202,"OLLAGÜE","Municipal",21,5.7
"22",2203,"SAN PEDRO DE ATACAMA","Municipal",720,5.7
"23",2301,"TOCOPILLA","Municipal",1823,5.6
"24",2301,"TOCOPILLA","Particular Subvencionado",389,5.9
"25",2302,"MARÍA ELENA","Municipal",384,5.3
"26",3101,"COPIAPÓ","Municipal",8256,5.5
"27",3101,"COPIAPÓ","Particular Pagado",1139,6
"28",3101,"COPIAPÓ","Particular Subvencionado",4283,5.8
"29",3102,"CALDERA","Municipal",914,5.7
"30",3102,"CALDERA","Particular Subvencionado",656,5.6
"31",3103,"TIERRA AMARILLA","Municipal",939,5.4
"32",3103,"TIERRA AMARILLA","Particular Subvencionado",51,6.1
"33",3201,"CHAÑARAL","Municipal",1000,5.8
"34",3201,"CHAÑARAL","Particular Subvencionado",118,6.2
"35",3202,"DIEGO DE ALMAGRO","Municipal",610,5.8
"36",3202,"DIEGO DE ALMAGRO","Particular Subvencionado",657,5.9
"37",3301,"VALLENAR","Particular Pagado",131,5.9
"38",3301,"VALLENAR","Particular Subvencionado",837,6
"39",3301,"VALLENAR","Servicio Local de Educación",3324,5.7
"40",3302,"ALTO DEL CARMEN","Servicio Local de Educación",356,5.6
"41",3303,"FREIRINA","Servicio Local de Educación",551,5.7
"42",3304,"HUASCO","Particular Subvencionado",150,5.8
"43",3304,"HUASCO","Servicio Local de Educación",665,5.8
"44",4101,"LA SERENA","Municipal",5132,5.4
"45",4101,"LA SERENA","Particular Pagado",3759,6
"46",4101,"LA SERENA","Particular Subvencionado",11667,5.6
"47",4102,"COQUIMBO","Particular Pagado",853,6
"48",4102,"COQUIMBO","Particular Subvencionado",11374,5.7
"49",4102,"COQUIMBO","Servicio Local de Educación",4786,5.5
"50",4103,"ANDACOLLO","Particular Subvencionado",497,5.8
"51",4103,"ANDACOLLO","Servicio Local de Educación",411,5.5
"52",4104,"LA HIGUERA","Municipal",372,5.5
"53",4105,"PAIGUANO","Municipal",311,5.7
"54",4106,"VICUÑA","Municipal",1151,5.4
"55",4106,"VICUÑA","Particular Subvencionado",1098,5.8
"56",4201,"ILLAPEL","Municipal",1393,5.6
"57",4201,"ILLAPEL","Particular Subvencionado",1014,5.7
"58",4202,"CANELA","Municipal",558,5.9
"59",4202,"CANELA","Particular Subvencionado",10,4.9
"60",4203,"LOS VILOS","Municipal",878,5.8
"61",4203,"LOS VILOS","Particular Subvencionado",848,5.7
"62",4204,"SALAMANCA","Municipal",899,5.7
"63",4204,"SALAMANCA","Particular Subvencionado",1254,5.8
"64",4301,"OVALLE","Municipal",5257,5.5
"65",4301,"OVALLE","Particular Pagado",454,6.2
"66",4301,"OVALLE","Particular Subvencionado",3556,5.9
