"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"1",1101,"IQUIQUE","Promovido",15613
"2",1101,"IQUIQUE","Reprobado",88
"3",1101,"IQUIQUE","Retirado",550
"4",1107,"ALTO HOSPICIO","Promovido",10783
"5",1107,"ALTO HOSPICIO","Reprobado",171
"6",1107,"ALTO HOSPICIO","Retirado",337
"7",1401,"POZO ALMONTE","Promovido",1373
"8",1401,"POZO ALMONTE","Reprobado",1
"9",1401,"POZO ALMONTE","Retirado",30
"10",1402,"CAMIÑA","Promovido",117
"11",1402,"CAMIÑA","Retirado",7
"12",1403,"COLCHANE","Promovido",63
"13",1403,"COLCHANE","Reprobado",1
"14",1403,"COLCHANE","Retirado",2
"15",1404,"HUARA","Promovido",239
"16",1404,"HUARA","Reprobado",1
"17",1404,"HUARA","Retirado",8
"18",1405,"PICA","Promovido",537
"19",1405,"PICA","Reprobado",2
"20",1405,"PICA","Retirado",11
"21",2101,"ANTOFAGASTA","Promovido",27926
"22",2101,"ANTOFAGASTA","Reprobado",423
"23",2101,"ANTOFAGASTA","Retirado",1006
"24",2102,"MEJILLONES","Promovido",1121
"25",2102,"MEJILLONES","Reprobado",29
"26",2102,"MEJILLONES","Retirado",26
"27",2103,"SIERRA GORDA","Promovido",142
"28",2103,"SIERRA GORDA","Retirado",1
"29",2104,"TALTAL","Promovido",919
"30",2104,"TALTAL","Retirado",21
"31",2201,"CALAMA","Promovido",13988
"32",2201,"CALAMA","Reprobado",71
"33",2201,"CALAMA","Retirado",374
"34",2202,"OLLAGÜE","Promovido",24
"35",2202,"OLLAGÜE","Retirado",1
"36",2203,"SAN PEDRO DE ATACAMA","Promovido",708
"37",2203,"SAN PEDRO DE ATACAMA","Reprobado",18
"38",2203,"SAN PEDRO DE ATACAMA","Retirado",7
"39",2301,"TOCOPILLA","Promovido",2076
"40",2301,"TOCOPILLA","Reprobado",26
"41",2301,"TOCOPILLA","Retirado",32
"42",2302,"MARÍA ELENA","Promovido",341
"43",2302,"MARÍA ELENA","Reprobado",3
"44",2302,"MARÍA ELENA","Retirado",9
"45",3101,"COPIAPÓ","Promovido",13338
"46",3101,"COPIAPÓ","Reprobado",132
"47",3101,"COPIAPÓ","Retirado",312
"48",3102,"CALDERA","Promovido",1154
"49",3102,"CALDERA","Reprobado",5
"50",3102,"CALDERA","Retirado",48
"51",3103,"TIERRA AMARILLA","Promovido",1256
"52",3103,"TIERRA AMARILLA","Reprobado",11
"53",3103,"TIERRA AMARILLA","Retirado",40
"54",3201,"CHAÑARAL","Promovido",1100
"55",3201,"CHAÑARAL","Reprobado",8
"56",3201,"CHAÑARAL","Retirado",20
"57",3202,"DIEGO DE ALMAGRO","Promovido",1212
"58",3202,"DIEGO DE ALMAGRO","Reprobado",11
"59",3202,"DIEGO DE ALMAGRO","Retirado",32
"60",3301,"VALLENAR","Promovido",4226
"61",3301,"VALLENAR","Reprobado",33
"62",3301,"VALLENAR","Retirado",63
"63",3302,"ALTO DEL CARMEN","Promovido",337
"64",3302,"ALTO DEL CARMEN","Reprobado",1
"65",3302,"ALTO DEL CARMEN","Retirado",11
"66",3303,"FREIRINA","Promovido",564
"67",3303,"FREIRINA","Reprobado",5
"68",3303,"FREIRINA","Retirado",9
"69",3304,"HUASCO","Promovido",855
"70",3304,"HUASCO","Reprobado",3
"71",3304,"HUASCO","Retirado",21
"72",4101,"LA SERENA","Promovido",20480
"73",4101,"LA SERENA","Reprobado",111
"74",4101,"LA SERENA","Retirado",675
"75",4101,"LA SERENA",NA,1
"76",4102,"COQUIMBO","Promovido",17053
"77",4102,"COQUIMBO","Reprobado",148
"78",4102,"COQUIMBO","Retirado",426
"79",4103,"ANDACOLLO","Promovido",882
"80",4103,"ANDACOLLO","Reprobado",8
"81",4103,"ANDACOLLO","Retirado",4
"82",4104,"LA HIGUERA","Promovido",354
"83",4104,"LA HIGUERA","Reprobado",6
"84",4104,"LA HIGUERA","Retirado",5
"85",4105,"PAIGUANO","Promovido",331
"86",4105,"PAIGUANO","Retirado",5
"87",4106,"VICUÑA","Promovido",2179
"88",4106,"VICUÑA","Reprobado",9
"89",4106,"VICUÑA","Retirado",56
"90",4201,"ILLAPEL","Promovido",2376
"91",4201,"ILLAPEL","Reprobado",6
"92",4201,"ILLAPEL","Retirado",68
"93",4202,"CANELA","Promovido",558
"94",4202,"CANELA","Retirado",12
"95",4203,"LOS VILOS","Promovido",1715
"96",4203,"LOS VILOS","Reprobado",3
"97",4203,"LOS VILOS","Retirado",54
"98",4204,"SALAMANCA","Promovido",2150
"99",4204,"SALAMANCA","Reprobado",10
"100",4204,"SALAMANCA","Retirado",49
"101",4301,"OVALLE","Promovido",9227
"102",4301,"OVALLE","Reprobado",50
"103",4301,"OVALLE","Retirado",177
"104",4302,"COMBARBALÁ","Promovido",853
"105",4302,"COMBARBALÁ","Retirado",20
"106",4303,"MONTE PATRIA","Promovido",2333
"107",4303,"MONTE PATRIA","Reprobado",13
"108",4303,"MONTE PATRIA","Retirado",49
"109",4304,"PUNITAQUI","Promovido",847
"110",4304,"PUNITAQUI","Reprobado",3
"111",4304,"PUNITAQUI","Retirado",23
"112",4305,"RÍO HURTADO","Promovido",257
"113",4305,"RÍO HURTADO","Reprobado",1
"114",4305,"RÍO HURTADO","Retirado",7
"115",5101,"VALPARAÍSO","Promovido",18069
"116",5101,"VALPARAÍSO","Reprobado",259
"117",5101,"VALPARAÍSO","Retirado",661
"118",5102,"CASABLANCA","Promovido",2032
"119",5102,"CASABLANCA","Reprobado",6
"120",5102,"CASABLANCA","Retirado",55
"121",5103,"CONCÓN","Promovido",3233
"122",5103,"CONCÓN","Reprobado",12
"123",5103,"CONCÓN","Retirado",98
"124",5104,"JUAN FERNÁNDEZ","Promovido",83
"125",5104,"JUAN FERNÁNDEZ","Retirado",3
"126",5105,"PUCHUNCAVÍ","Promovido",1214
"127",5105,"PUCHUNCAVÍ","Reprobado",10
"128",5105,"PUCHUNCAVÍ","Retirado",24
"129",5107,"QUINTERO","Promovido",2289
"130",5107,"QUINTERO","Reprobado",41
"131",5107,"QUINTERO","Retirado",57
"132",5109,"VIÑA DEL MAR","Promovido",21080
"133",5109,"VIÑA DEL MAR","Reprobado",158
"134",5109,"VIÑA DEL MAR","Retirado",957
"135",5201,"ISLA DE PASCUA","Promovido",594
"136",5201,"ISLA DE PASCUA","Reprobado",5
"137",5201,"ISLA DE PASCUA","Retirado",41
"138",5301,"LOS ANDES","Promovido",5636
"139",5301,"LOS ANDES","Reprobado",84
"140",5301,"LOS ANDES","Retirado",186
"141",5302,"CALLE LARGA","Promovido",1088
"142",5302,"CALLE LARGA","Reprobado",10
"143",5302,"CALLE LARGA","Retirado",44
"144",5303,"RINCONADA","Promovido",688
"145",5303,"RINCONADA","Reprobado",4
"146",5303,"RINCONADA","Retirado",12
"147",5304,"SAN ESTEBAN","Promovido",769
"148",5304,"SAN ESTEBAN","Reprobado",3
"149",5304,"SAN ESTEBAN","Retirado",21
"150",5401,"LA LIGUA","Promovido",2587
"151",5401,"LA LIGUA","Reprobado",10
"152",5401,"LA LIGUA","Retirado",58
"153",5402,"CABILDO","Promovido",1440
"154",5402,"CABILDO","Reprobado",2
"155",5402,"CABILDO","Retirado",20
"156",5403,"PAPUDO","Promovido",332
"157",5403,"PAPUDO","Reprobado",1
"158",5403,"PAPUDO","Retirado",3
"159",5404,"PETORCA","Promovido",659
"160",5404,"PETORCA","Retirado",9
"161",5405,"ZAPALLAR","Promovido",649
"162",5405,"ZAPALLAR","Reprobado",3
"163",5405,"ZAPALLAR","Retirado",18
"164",5501,"QUILLOTA","Promovido",7500
"165",5501,"QUILLOTA","Reprobado",53
"166",5501,"QUILLOTA","Retirado",202
"167",5502,"CALERA","Promovido",4461
"168",5502,"CALERA","Reprobado",23
"169",5502,"CALERA","Retirado",115
"170",5503,"HIJUELAS","Promovido",1110
"171",5503,"HIJUELAS","Retirado",30
"172",5504,"LA CRUZ","Promovido",710
"173",5504,"LA CRUZ","Reprobado",15
"174",5504,"LA CRUZ","Retirado",23
"175",5506,"NOGALES","Promovido",1344
"176",5506,"NOGALES","Reprobado",8
"177",5506,"NOGALES","Retirado",10
"178",5601,"SAN ANTONIO","Promovido",6889
"179",5601,"SAN ANTONIO","Reprobado",48
"180",5601,"SAN ANTONIO","Retirado",180
"181",5602,"ALGARROBO","Promovido",994
"182",5602,"ALGARROBO","Reprobado",9
"183",5602,"ALGARROBO","Retirado",31
"184",5603,"CARTAGENA","Promovido",1815
"185",5603,"CARTAGENA","Reprobado",19
"186",5603,"CARTAGENA","Retirado",75
"187",5604,"EL QUISCO","Promovido",951
"188",5604,"EL QUISCO","Retirado",16
"189",5605,"EL TABO","Promovido",461
"190",5605,"EL TABO","Reprobado",2
"191",5605,"EL TABO","Retirado",18
"192",5606,"SANTO DOMINGO","Promovido",1008
"193",5606,"SANTO DOMINGO","Reprobado",1
"194",5606,"SANTO DOMINGO","Retirado",21
"195",5701,"SAN FELIPE","Promovido",6069
"196",5701,"SAN FELIPE","Reprobado",60
"197",5701,"SAN FELIPE","Retirado",152
"198",5702,"CATEMU","Promovido",837
"199",5702,"CATEMU","Reprobado",13
"200",5702,"CATEMU","Retirado",22
"201",5703,"LLAILLAY","Promovido",2110
"202",5703,"LLAILLAY","Reprobado",15
"203",5703,"LLAILLAY","Retirado",70
"204",5704,"PANQUEHUE","Promovido",557
"205",5704,"PANQUEHUE","Reprobado",3
"206",5704,"PANQUEHUE","Retirado",10
"207",5705,"PUTAENDO","Promovido",1008
"208",5705,"PUTAENDO","Reprobado",17
