"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"106",5601,"SAN ANTONIO","Rural",207,5.7
"107",5601,"SAN ANTONIO","Urbano",6767,5.4
"108",5602,"ALGARROBO","Rural",196,5.6
"109",5602,"ALGARROBO","Urbano",856,5.5
"110",5603,"CARTAGENA","Rural",145,5.5
"111",5603,"CARTAGENA","Urbano",1685,5.5
"112",5604,"EL QUISCO","Rural",162,5.5
"113",5604,"EL QUISCO","Urbano",795,5.3
"114",5605,"EL TABO","Urbano",482,5.6
"115",5606,"SANTO DOMINGO","Rural",204,6
"116",5606,"SANTO DOMINGO","Urbano",814,5.5
"117",5701,"SAN FELIPE","Rural",433,5.7
"118",5701,"SAN FELIPE","Urbano",5687,5.7
"119",5702,"CATEMU","Rural",407,5.6
"120",5702,"CATEMU","Urbano",475,5.5
"121",5703,"LLAILLAY","Rural",358,5.5
"122",5703,"LLAILLAY","Urbano",1878,5.8
"123",5704,"PANQUEHUE","Rural",147,5.5
"124",5704,"PANQUEHUE","Urbano",460,5.5
"125",5705,"PUTAENDO","Rural",327,5.8
"126",5705,"PUTAENDO","Urbano",713,5.9
"127",5706,"SANTA MARÍA","Rural",234,5.5
"128",5706,"SANTA MARÍA","Urbano",746,5.9
"129",5801,"QUILPUÉ","Rural",101,5.5
"130",5801,"QUILPUÉ","Urbano",11022,5.6
"131",5802,"LIMACHE","Rural",69,6
"132",5802,"LIMACHE","Urbano",3368,5.5
"133",5803,"OLMUÉ","Rural",181,5.3
"134",5803,"OLMUÉ","Urbano",777,5.3
"135",5804,"VILLA ALEMANA","Rural",29,5.9
"136",5804,"VILLA ALEMANA","Urbano",8718,5.6
"137",6101,"RANCAGUA","Rural",914,5.5
"138",6101,"RANCAGUA","Urbano",17841,5.7
"139",6102,"CODEGUA","Rural",265,5.7
"140",6102,"CODEGUA","Urbano",406,5.6
"141",6103,"COINCO","Rural",312,5.8
"142",6103,"COINCO","Urbano",128,4.9
"143",6104,"COLTAUCO","Rural",787,5.8
"144",6104,"COLTAUCO","Urbano",591,5.7
"145",6105,"DOÑIHUE","Rural",582,5.5
"146",6105,"DOÑIHUE","Urbano",1053,5.9
"147",6106,"GRANEROS","Rural",267,5.4
"148",6106,"GRANEROS","Urbano",2800,5.6
"149",6107,"LAS CABRAS","Rural",669,5.7
"150",6107,"LAS CABRAS","Urbano",1204,5.7
"151",6108,"MACHALÍ","Rural",231,5.4
"152",6108,"MACHALÍ","Urbano",4399,5.7
"153",6109,"MALLOA","Rural",302,5.9
"154",6109,"MALLOA","Urbano",333,5.6
"155",6110,"MOSTAZAL","Rural",527,5.6
"156",6110,"MOSTAZAL","Urbano",1354,5.8
"157",6111,"OLIVAR","Rural",252,5.4
"158",6111,"OLIVAR","Urbano",561,5.9
"159",6112,"PEUMO","Rural",472,5.5
"160",6112,"PEUMO","Urbano",482,5.8
"161",6113,"PICHIDEGUA","Rural",840,5.8
"162",6113,"PICHIDEGUA","Urbano",285,5.8
"163",6114,"QUINTA DE TILCOCO","Rural",371,5.6
"164",6114,"QUINTA DE TILCOCO","Urbano",516,5.5
"165",6115,"RENGO","Rural",1033,5.7
"166",6115,"RENGO","Urbano",3586,5.6
"167",6116,"REQUÍNOA","Rural",692,5.7
"168",6116,"REQUÍNOA","Urbano",1020,5.8
"169",6117,"SAN VICENTE","Rural",911,5.8
"170",6117,"SAN VICENTE","Urbano",2457,5.7
"171",6201,"PICHILEMU","Rural",422,5.7
"172",6201,"PICHILEMU","Urbano",876,5.7
"173",6202,"LA ESTRELLA","Rural",34,5.9
"174",6202,"LA ESTRELLA","Urbano",170,5.7
"175",6203,"LITUECHE","Rural",469,5.8
"176",6204,"MARCHIHUE","Rural",248,5.3
"177",6204,"MARCHIHUE","Urbano",205,5.9
"178",6205,"NAVIDAD","Rural",244,6
"179",6205,"NAVIDAD","Urbano",232,6
"180",6206,"PAREDONES","Rural",104,5.9
"181",6206,"PAREDONES","Urbano",203,6.1
"182",6301,"SAN FERNANDO","Rural",705,5.5
"183",6301,"SAN FERNANDO","Urbano",5358,5.7
"184",6302,"CHÉPICA","Rural",399,5.8
"185",6302,"CHÉPICA","Urbano",394,5.7
"186",6303,"CHIMBARONGO","Rural",1170,5.9
"187",6303,"CHIMBARONGO","Urbano",1338,5.8
"188",6304,"LOLOL","Rural",206,5.8
"189",6304,"LOLOL","Urbano",171,6
"190",6305,"NANCAGUA","Rural",410,5.7
"191",6305,"NANCAGUA","Urbano",829,5.9
"192",6306,"PALMILLA","Rural",358,5.7
"193",6306,"PALMILLA","Urbano",170,5.8
"194",6307,"PERALILLO","Rural",144,5.5
"195",6307,"PERALILLO","Urbano",456,5.1
"196",6308,"PLACILLA","Rural",369,5.9
"197",6308,"PLACILLA","Urbano",84,5.6
"198",6309,"PUMANQUE","Rural",101,5.6
"199",6309,"PUMANQUE","Urbano",87,6.1
"200",6310,"SANTA CRUZ","Rural",654,5.8
"201",6310,"SANTA CRUZ","Urbano",2771,5.8
"202",7101,"TALCA","Rural",513,5.4
"203",7101,"TALCA","Urbano",17747,5.5
"204",7102,"CONSTITUCIÓN","Rural",950,5.6
"205",7102,"CONSTITUCIÓN","Urbano",2717,5.6
"206",7103,"CUREPTO","Rural",265,5.9
"207",7103,"CUREPTO","Urbano",230,6
"208",7104,"EMPEDRADO","Rural",62,6
"209",7104,"EMPEDRADO","Urbano",213,5.8
"210",7105,"MAULE","Rural",1014,5.6
"211",7105,"MAULE","Urbano",1101,5.8
"212",7106,"PELARCO","Rural",386,6.1
"213",7106,"PELARCO","Urbano",196,5.6
"214",7107,"PENCAHUE","Rural",226,5.8
"215",7107,"PENCAHUE","Urbano",156,5.8
"216",7108,"RÍO CLARO","Rural",511,5.4
"217",7108,"RÍO CLARO","Urbano",431,5.9
"218",7109,"SAN CLEMENTE","Rural",1352,5.7
"219",7109,"SAN CLEMENTE","Urbano",1827,5.8
"220",7110,"SAN RAFAEL","Rural",250,5.7
"221",7110,"SAN RAFAEL","Urbano",529,5.7
"222",7201,"CAUQUENES","Rural",251,5.1
"223",7201,"CAUQUENES","Urbano",2671,5.7
"224",7202,"CHANCO","Rural",231,5.4
"225",7202,"CHANCO","Urbano",317,5.2
"226",7203,"PELLUHUE","Rural",173,6.1
"227",7203,"PELLUHUE","Urbano",471,5.5
"228",7301,"CURICÓ","Rural",1735,5.8
"229",7301,"CURICÓ","Urbano",10361,5.7
"230",7302,"HUALAÑÉ","Rural",265,6.1
"231",7302,"HUALAÑÉ","Urbano",336,5.8
"232",7303,"LICANTÉN","Rural",147,5.8
"233",7303,"LICANTÉN","Urbano",287,6
"234",7304,"MOLINA","Rural",919,5.7
"235",7304,"MOLINA","Urbano",2235,5.7
"236",7305,"RAUCO","Rural",319,5.8
"237",7305,"RAUCO","Urbano",146,4.7
"238",7306,"ROMERAL","Rural",439,5.7
"239",7306,"ROMERAL","Urbano",623,5.7
"240",7307,"SAGRADA FAMILIA","Rural",682,5.3
"241",7307,"SAGRADA FAMILIA","Urbano",384,5.5
"242",7308,"TENO","Rural",1343,5.6
"243",7308,"TENO","Urbano",399,5.9
"244",7309,"VICHUQUEN","Rural",156,5.8
"245",7309,"VICHUQUEN","Urbano",43,4.9
"246",7401,"LINARES","Rural",1075,5.5
"247",7401,"LINARES","Urbano",6861,5.7
"248",7402,"COLBÚN","Rural",914,5.5
"249",7402,"COLBÚN","Urbano",590,5.8
"250",7403,"LONGAVÍ","Rural",1449,5.5
"251",7403,"LONGAVÍ","Urbano",635,5.6
"252",7404,"PARRAL","Rural",454,5.4
"253",7404,"PARRAL","Urbano",2735,5.2
"254",7405,"RETIRO","Rural",798,5.5
"255",7405,"RETIRO","Urbano",682,5.5
"256",7406,"SAN JAVIER","Rural",900,5.5
"257",7406,"SAN JAVIER","Urbano",2982,5.8
"258",7407,"VILLA ALEGRE","Rural",818,5.7
"259",7407,"VILLA ALEGRE","Urbano",200,5.1
