"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"120",5101,"VALPARAÍSO","Retirado",2151
"121",5102,"CASABLANCA","Promovido",2110
"122",5102,"CASABLANCA","Reprobado",22
"123",5102,"CASABLANCA","Retirado",175
"124",5103,"CONCÓN","Promovido",3380
"125",5103,"CONCÓN","Reprobado",40
"126",5103,"CONCÓN","Retirado",228
"127",5104,"JUAN FERNÁNDEZ","Promovido",68
"128",5104,"JUAN FERNÁNDEZ","Retirado",14
"129",5105,"PUCHUNCAVÍ","Promovido",1362
"130",5105,"PUCHUNCAVÍ","Reprobado",32
"131",5105,"PUCHUNCAVÍ","Retirado",117
"132",5107,"QUINTERO","Promovido",2288
"133",5107,"QUINTERO","Reprobado",92
"134",5107,"QUINTERO","Retirado",205
"135",5109,"VIÑA DEL MAR","Promovido",20622
"136",5109,"VIÑA DEL MAR","Reprobado",388
"137",5109,"VIÑA DEL MAR","Retirado",2278
"138",5201,"ISLA DE PASCUA","Promovido",602
"139",5201,"ISLA DE PASCUA","Reprobado",10
"140",5201,"ISLA DE PASCUA","Retirado",72
"141",5301,"LOS ANDES","Promovido",5647
"142",5301,"LOS ANDES","Reprobado",81
"143",5301,"LOS ANDES","Retirado",567
"144",5302,"CALLE LARGA","Promovido",1184
"145",5302,"CALLE LARGA","Reprobado",21
"146",5302,"CALLE LARGA","Retirado",69
"147",5303,"RINCONADA","Promovido",623
"148",5303,"RINCONADA","Reprobado",5
"149",5303,"RINCONADA","Retirado",37
"150",5304,"SAN ESTEBAN","Promovido",775
"151",5304,"SAN ESTEBAN","Reprobado",2
"152",5304,"SAN ESTEBAN","Retirado",73
"153",5401,"LA LIGUA","Promovido",2726
"154",5401,"LA LIGUA","Reprobado",11
"155",5401,"LA LIGUA","Retirado",216
"156",5402,"CABILDO","Promovido",1397
"157",5402,"CABILDO","Reprobado",6
"158",5402,"CABILDO","Retirado",78
"159",5403,"PAPUDO","Promovido",421
"160",5403,"PAPUDO","Reprobado",3
"161",5403,"PAPUDO","Retirado",36
"162",5404,"PETORCA","Promovido",639
"163",5404,"PETORCA","Reprobado",2
"164",5404,"PETORCA","Retirado",35
"165",5405,"ZAPALLAR","Promovido",725
"166",5405,"ZAPALLAR","Reprobado",1
"167",5405,"ZAPALLAR","Retirado",40
"168",5501,"QUILLOTA","Promovido",7510
"169",5501,"QUILLOTA","Reprobado",134
"170",5501,"QUILLOTA","Retirado",507
"171",5502,"CALERA","Promovido",4329
"172",5502,"CALERA","Reprobado",46
"173",5502,"CALERA","Retirado",396
"174",5503,"HIJUELAS","Promovido",1102
"175",5503,"HIJUELAS","Reprobado",1
"176",5503,"HIJUELAS","Retirado",90
"177",5504,"LA CRUZ","Promovido",711
"178",5504,"LA CRUZ","Reprobado",1
"179",5504,"LA CRUZ","Retirado",69
"180",5506,"NOGALES","Promovido",1351
"181",5506,"NOGALES","Reprobado",6
"182",5506,"NOGALES","Retirado",67
"183",5601,"SAN ANTONIO","Promovido",7274
"184",5601,"SAN ANTONIO","Reprobado",125
"185",5601,"SAN ANTONIO","Retirado",719
