"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"347",9102,"CARAHUE","Servicio Local de Educación",940,6.1
"348",9103,"CUNCO","Municipal",572,6
"349",9103,"CUNCO","Particular Subvencionado",694,5.9
"350",9104,"CURARREHUE","Municipal",234,5.8
"351",9104,"CURARREHUE","Particular Subvencionado",407,5.8
"352",9105,"FREIRE","Municipal",573,5.8
"353",9105,"FREIRE","Particular Subvencionado",947,5.8
"354",9106,"GALVARINO","Municipal",819,5.8
"355",9106,"GALVARINO","Particular Subvencionado",258,5.4
"356",9107,"GORBEA","Municipal",597,6
"357",9107,"GORBEA","Particular Subvencionado",233,5.8
"358",9108,"LAUTARO","Municipal",1659,6
"359",9108,"LAUTARO","Particular Subvencionado",1337,5.8
"360",9109,"LONCOCHE","Municipal",806,6
"361",9109,"LONCOCHE","Particular Subvencionado",873,6
"362",9110,"MELIPEUCO","Municipal",172,5.9
"363",9110,"MELIPEUCO","Particular Subvencionado",284,6.1
"364",9111,"NUEVA IMPERIAL","Particular Subvencionado",1809,5.9
"365",9111,"NUEVA IMPERIAL","Servicio Local de Educación",613,5.8
"366",9112,"PADRE LAS CASAS","Municipal",828,5.9
"367",9112,"PADRE LAS CASAS","Particular Subvencionado",4219,5.9
"368",9113,"PERQUENCO","Municipal",415,5.8
"369",9113,"PERQUENCO","Particular Subvencionado",143,5.7
"370",9114,"PITRUFQUÉN","Municipal",620,5.9
"371",9114,"PITRUFQUÉN","Particular Subvencionado",1366,5.8
"372",9115,"PUCÓN","Municipal",1116,6
"373",9115,"PUCÓN","Particular Subvencionado",1335,6.1
"374",9116,"SAAVEDRA","Particular Subvencionado",576,5.8
"375",9116,"SAAVEDRA","Servicio Local de Educación",344,5.9
"376",9117,"TEODORO SCHMIDT","Particular Subvencionado",616,5.8
"377",9117,"TEODORO SCHMIDT","Servicio Local de Educación",416,5.9
"378",9118,"TOLTÉN","Particular Subvencionado",412,6.1
"379",9118,"TOLTÉN","Servicio Local de Educación",334,6.1
"380",9119,"VILCÚN","Municipal",703,5.6
"381",9119,"VILCÚN","Particular Subvencionado",1510,5.8
"382",9120,"VILLARRICA","Municipal",1246,6
"383",9120,"VILLARRICA","Particular Pagado",284,6.1
"384",9120,"VILLARRICA","Particular Subvencionado",4014,6.1
"385",9121,"CHOLCHOL","Municipal",277,5.8
"386",9121,"CHOLCHOL","Particular Subvencionado",754,5.5
"387",9201,"ANGOL","Municipal",2041,5.8
"388",9201,"ANGOL","Particular Pagado",144,6.4
"389",9201,"ANGOL","Particular Subvencionado",1780,5.9
"390",9202,"COLLIPULLI","Municipal",1143,5.8
"391",9202,"COLLIPULLI","Particular Subvencionado",807,6
"392",9203,"CURACAUTÍN","Municipal",921,5.9
"393",9203,"CURACAUTÍN","Particular Subvencionado",370,5.9
"394",9204,"ERCILLA","Municipal",402,5.7
"395",9204,"ERCILLA","Particular Subvencionado",262,5.8
"396",9205,"LONQUIMAY","Municipal",665,5.8
"397",9205,"LONQUIMAY","Particular Subvencionado",156,6.1
"398",9206,"LOS SAUCES","Municipal",380,5.8
"399",9206,"LOS SAUCES","Particular Subvencionado",94,5.7
"400",9207,"LUMACO","Municipal",536,5.8
"401",9207,"LUMACO","Particular Subvencionado",130,5.5
"402",9208,"PURÉN","Municipal",598,5.9
"403",9208,"PURÉN","Particular Subvencionado",236,5.8
"404",9209,"RENAICO","Municipal",386,5.6
"405",9209,"RENAICO","Particular Subvencionado",307,5.8
"406",9210,"TRAIGUÉN","Municipal",656,5.8
"407",9210,"TRAIGUÉN","Particular Subvencionado",668,5.8
"408",9211,"VICTORIA","Municipal",1183,6
"409",9211,"VICTORIA","Particular Subvencionado",1392,6
"410",10101,"PUERTO MONTT","Municipal",7544,5.7
"411",10101,"PUERTO MONTT","Particular Pagado",1519,6.2
"412",10101,"PUERTO MONTT","Particular Subvencionado",10413,5.9
"413",10102,"CALBUCO","Municipal",1358,5.9
"414",10102,"CALBUCO","Particular Subvencionado",1090,6
"415",10103,"COCHAMÓ","Municipal",235,5.8
"416",10104,"FRESIA","Particular Subvencionado",392,5.8
"417",10104,"FRESIA","Servicio Local de Educación",397,5.9
"418",10105,"FRUTILLAR","Particular Pagado",245,6.2
"419",10105,"FRUTILLAR","Particular Subvencionado",453,5.8
"420",10105,"FRUTILLAR","Servicio Local de Educación",945,6
"421",10106,"LOS MUERMOS","Particular Subvencionado",672,5.8
"422",10106,"LOS MUERMOS","Servicio Local de Educación",708,5.8
"423",10107,"LLANQUIHUE","Particular Subvencionado",410,6
"424",10107,"LLANQUIHUE","Servicio Local de Educación",687,5.8
"425",10108,"MAULLIN","Municipal",680,6
"426",10108,"MAULLIN","Particular Subvencionado",210,5.7
"427",10109,"PUERTO VARAS","Particular Pagado",1505,6.2
"428",10109,"PUERTO VARAS","Particular Subvencionado",1143,5.8
"429",10109,"PUERTO VARAS","Servicio Local de Educación",1492,5.8
"430",10201,"CASTRO","Municipal",1807,5.8
"431",10201,"CASTRO","Particular Subvencionado",1564,6.1
"432",10202,"ANCUD","Municipal",586,6
"433",10202,"ANCUD","Particular Subvencionado",2103,6
"434",10203,"CHONCHI","Municipal",895,5.9
"435",10204,"CURACO DE VÉLEZ","Municipal",160,5.6
"436",10205,"DALCAHUE","Municipal",394,6
"437",10205,"DALCAHUE","Particular Subvencionado",699,6
"438",10206,"PUQUELDÓN","Municipal",169,6.1
