"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Municipal",4780,4.9
"2",1101,"IQUIQUE","Particular Pagado",1542,4.8
"3",1101,"IQUIQUE","Particular Subvencionado",9379,4.9
"4",1107,"ALTO HOSPICIO","Municipal",350,4.5
"5",1107,"ALTO HOSPICIO","Particular Subvencionado",10604,5.2
"6",1401,"POZO ALMONTE","Municipal",1207,5
"7",1401,"POZO ALMONTE","Particular Subvencionado",167,4.2
"8",1402,"CAMIÑA","Municipal",117,5.8
"9",1403,"COLCHANE","Municipal",64,5.4
"10",1404,"HUARA","Municipal",240,5.6
"11",1405,"PICA","Municipal",539,5.5
"12",2101,"ANTOFAGASTA","Municipal",14178,5
"13",2101,"ANTOFAGASTA","Particular Pagado",3057,5.3
"14",2101,"ANTOFAGASTA","Particular Subvencionado",11114,5.5
"15",2102,"MEJILLONES","Municipal",1150,4.4
"16",2103,"SIERRA GORDA","Municipal",142,5.7
"17",2104,"TALTAL","Municipal",919,4.7
"18",2201,"CALAMA","Municipal",7722,5.2
"19",2201,"CALAMA","Particular Pagado",1208,5.1
"20",2201,"CALAMA","Particular Subvencionado",5129,5.5
"21",2202,"OLLAGÜE","Municipal",24,5.6
"22",2203,"SAN PEDRO DE ATACAMA","Municipal",726,5.9
"23",2301,"TOCOPILLA","Municipal",1711,5.1
"24",2301,"TOCOPILLA","Particular Subvencionado",391,5.5
"25",2302,"MARÍA ELENA","Municipal",344,5.1
"26",3101,"COPIAPÓ","Municipal",7983,5.1
"27",3101,"COPIAPÓ","Particular Pagado",1267,5.4
"28",3101,"COPIAPÓ","Particular Subvencionado",4220,4.9
"29",3102,"CALDERA","Municipal",506,4.7
"30",3102,"CALDERA","Particular Subvencionado",653,5.7
"31",3103,"TIERRA AMARILLA","Municipal",1226,4.6
"32",3103,"TIERRA AMARILLA","Particular Subvencionado",41,4.7
"33",3201,"CHAÑARAL","Municipal",1002,5.2
"34",3201,"CHAÑARAL","Particular Subvencionado",106,5.4
"35",3202,"DIEGO DE ALMAGRO","Municipal",589,4.2
"36",3202,"DIEGO DE ALMAGRO","Particular Subvencionado",634,4.4
"37",3301,"VALLENAR","Particular Pagado",142,4.7
"38",3301,"VALLENAR","Particular Subvencionado",835,5.4
"39",3301,"VALLENAR","Servicio Local de Educación",3282,5.2
"40",3302,"ALTO DEL CARMEN","Servicio Local de Educación",338,5.6
"41",3303,"FREIRINA","Servicio Local de Educación",569,4.8
