codigo_comuna,nombre_comuna,SituacionFinal,n_estudiantes
13101,SANTIAGO,Promovido,14662
13101,SANTIAGO,Reprobado,540
13101,SANTIAGO,Retirado,1668
13102,CERRILLOS,Promovido,1296
13102,CERRILLOS,Reprobado,34
13102,CERRILLOS,Retirado,136
13103,CERRO NAVIA,Promovido,969
13103,CERRO NAVIA,Reprobado,49
13103,CERRO NAVIA,Retirado,193
13104,CONCHALÍ,Promovido,1480
13104,CONCHALÍ,Reprobado,65
13104,CONCHALÍ,Retirado,183
13105,EL BOSQUE,Promovido,3575
13105,EL BOSQUE,Reprobado,122
13105,EL BOSQUE,Retirado,434
13106,ESTACIÓN CENTRAL,Promovido,2696
13106,ESTACIÓN CENTRAL,Reprobado,75
13106,ESTACIÓN CENTRAL,Retirado,293
13107,HUECHURABA,Promovido,1543
13107,HUECHURABA,Reprobado,35
13107,HUECHURABA,Retirado,117
13108,INDEPENDENCIA,Promovido,2337
13108,INDEPENDENCIA,Reprobado,42
13108,INDEPENDENCIA,Retirado,264
13109,LA CISTERNA,Promovido,4939
13109,LA CISTERNA,Reprobado,155
13109,LA CISTERNA,Retirado,746
13110,LA FLORIDA,Promovido,8940
13110,LA FLORIDA,Reprobado,211
13110,LA FLORIDA,Retirado,725
13111,LA GRANJA,Promovido,1701
13111,LA GRANJA,Reprobado,54
13111,LA GRANJA,Retirado,183
13112,LA PINTANA,Promovido,3587
13112,LA PINTANA,Reprobado,189
13112,LA PINTANA,Retirado,467
13113,LA REINA,Promovido,2662
13113,LA REINA,Reprobado,69
13113,LA REINA,Retirado,195
13114,LAS CONDES,Promovido,6389
13114,LAS CONDES,Reprobado,84
13114,LAS CONDES,Retirado,422
13115,LO BARNECHEA,Promovido,2880
13115,LO BARNECHEA,Reprobado,19
13115,LO BARNECHEA,Retirado,165
13116,LO ESPEJO,Promovido,826
13116,LO ESPEJO,Reprobado,26
13116,LO ESPEJO,Retirado,129
13117,LO PRADO,Promovido,773
13117,LO PRADO,Reprobado,31
13117,LO PRADO,Retirado,90
13118,MACUL,Promovido,1578
13118,MACUL,Reprobado,21
13118,MACUL,Retirado,128
13119,MAIPÚ,Promovido,13076
13119,MAIPÚ,Reprobado,323
13119,MAIPÚ,Retirado,1275
13120,ÑUÑOA,Promovido,6788
13120,ÑUÑOA,Reprobado,212
13120,ÑUÑOA,Retirado,658
13121,PEDRO AGUIRRE CERDA,Promovido,1175
13121,PEDRO AGUIRRE CERDA,Reprobado,66
13121,PEDRO AGUIRRE CERDA,Retirado,160
13122,PEÑALOLÉN,Promovido,4415
13122,PEÑALOLÉN,Reprobado,87
13122,PEÑALOLÉN,Retirado,323
13122,PEÑALOLÉN,NA,24
13123,PROVIDENCIA,Promovido,5363
13123,PROVIDENCIA,Reprobado,96
13123,PROVIDENCIA,Retirado,637
13124,PUDAHUEL,Promovido,2950
13124,PUDAHUEL,Reprobado,107
13124,PUDAHUEL,Retirado,288
13125,QUILICURA,Promovido,5524
13125,QUILICURA,Reprobado,179
13125,QUILICURA,Retirado,443
13126,QUINTA NORMAL,Promovido,3453
13126,QUINTA NORMAL,Reprobado,101
13126,QUINTA NORMAL,Retirado,401
13127,RECOLETA,Promovido,4478
13127,RECOLETA,Reprobado,180
13127,RECOLETA,Retirado,492
13128,RENCA,Promovido,2951
13128,RENCA,Reprobado,109
13128,RENCA,Retirado,300
13129,SAN JOAQUÍN,Promovido,948
13129,SAN JOAQUÍN,Reprobado,44
13129,SAN JOAQUÍN,Retirado,100
13130,SAN MIGUEL,Promovido,4184
13130,SAN MIGUEL,Reprobado,91
13130,SAN MIGUEL,Retirado,544
13131,SAN RAMÓN,Promovido,1652
13131,SAN RAMÓN,Reprobado,54
13131,SAN RAMÓN,Retirado,202
13132,VITACURA,Promovido,2816
13132,VITACURA,Reprobado,14
13132,VITACURA,Retirado,69
