"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Corporación de Administración Delegada",144,4.7
"2",1101,"IQUIQUE","Municipal",1604,5
"3",1101,"IQUIQUE","Particular Pagado",330,5.7
"4",1101,"IQUIQUE","Particular Subvencionado",3118,5.3
"5",1107,"ALTO HOSPICIO","Municipal",322,5
"6",1107,"ALTO HOSPICIO","Particular Subvencionado",2691,5.2
"7",1401,"POZO ALMONTE","Municipal",316,5.2
"8",1402,"CAMIÑA","Municipal",22,5.6
"9",1403,"COLCHANE","Municipal",25,5.4
"10",1404,"HUARA","Municipal",40,5.6
"11",1405,"PICA","Municipal",163,5.1
"12",2101,"ANTOFAGASTA","Municipal",4859,5.1
"13",2101,"ANTOFAGASTA","Particular Pagado",967,5.5
"14",2101,"ANTOFAGASTA","Particular Subvencionado",3788,5.2
"15",2102,"MEJILLONES","Municipal",289,5.4
"16",2103,"SIERRA GORDA","Municipal",20,5.4
"17",2104,"TALTAL","Municipal",328,5.3
"18",2201,"CALAMA","Municipal",2826,4.9
"19",2201,"CALAMA","Particular Pagado",334,5.4
"20",2201,"CALAMA","Particular Subvencionado",1568,5.3
"21",2203,"SAN PEDRO DE ATACAMA","Municipal",176,5
"22",2301,"TOCOPILLA","Municipal",488,5.1
"23",2301,"TOCOPILLA","Particular Subvencionado",209,5.3
"24",2302,"MARÍA ELENA","Municipal",142,5.2
"25",3101,"COPIAPÓ","Municipal",1946,4.8
"26",3101,"COPIAPÓ","Particular Pagado",245,5.5
"27",3101,"COPIAPÓ","Particular Subvencionado",2168,5.1
"28",3102,"CALDERA","Municipal",195,4.9
"29",3102,"CALDERA","Particular Subvencionado",229,5
"30",3103,"TIERRA AMARILLA","Municipal",280,5.2
"31",3201,"CHAÑARAL","Municipal",313,5
"32",3201,"CHAÑARAL","Particular Subvencionado",30,5.5
"33",3202,"DIEGO DE ALMAGRO","Municipal",252,5.3
"34",3202,"DIEGO DE ALMAGRO","Particular Subvencionado",202,5.4
"35",3301,"VALLENAR","Particular Pagado",36,6.1
"36",3301,"VALLENAR","Particular Subvencionado",422,5.4
"37",3301,"VALLENAR","Servicio Local de Educación",1129,5.2
"38",3302,"ALTO DEL CARMEN","Servicio Local de Educación",109,4.7
"39",3303,"FREIRINA","Servicio Local de Educación",115,5.6
"40",3304,"HUASCO","Servicio Local de Educación",214,5.1
"41",4101,"LA SERENA","Municipal",1593,4.9
"42",4101,"LA SERENA","Particular Pagado",1391,5.5
"43",4101,"LA SERENA","Particular Subvencionado",4233,5.2
"44",4102,"COQUIMBO","Particular Pagado",262,5.5
"45",4102,"COQUIMBO","Particular Subvencionado",2681,5.2
"46",4102,"COQUIMBO","Servicio Local de Educación",1829,4.9
"47",4103,"ANDACOLLO","Particular Subvencionado",100,5.2
"48",4103,"ANDACOLLO","Servicio Local de Educación",137,4.7
"49",4104,"LA HIGUERA","Municipal",29,4.4
