codigo_comuna,nombre_comuna,SituacionFinal,n_estudiantes
13101,SANTIAGO,Promovido,15453
13101,SANTIAGO,Reprobado,1026
13101,SANTIAGO,Retirado,1669
13102,CERRILLOS,Promovido,1311
13102,CERRILLOS,Reprobado,60
13102,CERRILLOS,Retirado,147
13103,CERRO NAVIA,Promovido,892
13103,CERRO NAVIA,Reprobado,72
13103,CERRO NAVIA,Retirado,161
13104,CONCHALÍ,Promovido,1173
13104,CONCHALÍ,Reprobado,96
13104,CONCHALÍ,Retirado,140
13105,EL BOSQUE,Promovido,3326
13105,EL BOSQUE,Reprobado,143
13105,EL BOSQUE,Retirado,464
13106,ESTACIÓN CENTRAL,Promovido,2463
13106,ESTACIÓN CENTRAL,Reprobado,127
13106,ESTACIÓN CENTRAL,Retirado,235
13107,HUECHURABA,Promovido,1200
13107,HUECHURABA,Reprobado,26
13107,HUECHURABA,Retirado,95
13108,INDEPENDENCIA,Promovido,2494
13108,INDEPENDENCIA,Reprobado,85
13108,INDEPENDENCIA,Retirado,289
13109,LA CISTERNA,Promovido,4844
13109,LA CISTERNA,Reprobado,277
13109,LA CISTERNA,Retirado,578
13110,LA FLORIDA,Promovido,8888
13110,LA FLORIDA,Reprobado,546
13110,LA FLORIDA,Retirado,813
13111,LA GRANJA,Promovido,1370
13111,LA GRANJA,Reprobado,39
13111,LA GRANJA,Retirado,100
13112,LA PINTANA,Promovido,3047
13112,LA PINTANA,Reprobado,144
13112,LA PINTANA,Retirado,341
13113,LA REINA,Promovido,2607
13113,LA REINA,Reprobado,59
13113,LA REINA,Retirado,170
13114,LAS CONDES,Promovido,6363
13114,LAS CONDES,Reprobado,133
13114,LAS CONDES,Retirado,323
13115,LO BARNECHEA,Promovido,2769
13115,LO BARNECHEA,Reprobado,60
13115,LO BARNECHEA,Retirado,82
13116,LO ESPEJO,Promovido,698
13116,LO ESPEJO,Reprobado,46
13116,LO ESPEJO,Retirado,181
13117,LO PRADO,Promovido,602
13117,LO PRADO,Reprobado,40
13117,LO PRADO,Retirado,115
13118,MACUL,Promovido,1486
13118,MACUL,Reprobado,50
13118,MACUL,Retirado,158
13119,MAIPÚ,Promovido,12466
13119,MAIPÚ,Reprobado,599
13119,MAIPÚ,Retirado,1181
13120,ÑUÑOA,Promovido,6868
13120,ÑUÑOA,Reprobado,477
13120,ÑUÑOA,Retirado,803
13121,PEDRO AGUIRRE CERDA,Promovido,937
13121,PEDRO AGUIRRE CERDA,Reprobado,47
13121,PEDRO AGUIRRE CERDA,Retirado,131
13122,PEÑALOLÉN,Promovido,3831
13122,PEÑALOLÉN,Reprobado,146
13122,PEÑALOLÉN,Retirado,294
13123,PROVIDENCIA,Promovido,5614
13123,PROVIDENCIA,Reprobado,231
13123,PROVIDENCIA,Retirado,514
13124,PUDAHUEL,Promovido,2662
13124,PUDAHUEL,Reprobado,96
13124,PUDAHUEL,Retirado,334
13125,QUILICURA,Promovido,4848
13125,QUILICURA,Reprobado,212
13125,QUILICURA,Retirado,425
13126,QUINTA NORMAL,Promovido,3047
13126,QUINTA NORMAL,Reprobado,230
13126,QUINTA NORMAL,Retirado,380
13127,RECOLETA,Promovido,4053
13127,RECOLETA,Reprobado,191
13127,RECOLETA,Retirado,452
13128,RENCA,Promovido,2704
13128,RENCA,Reprobado,150
13128,RENCA,Retirado,256
13129,SAN JOAQUÍN,Promovido,892
13129,SAN JOAQUÍN,Reprobado,40
13129,SAN JOAQUÍN,Retirado,125
13130,SAN MIGUEL,Promovido,4650
13130,SAN MIGUEL,Reprobado,226
13130,SAN MIGUEL,Retirado,553
13131,SAN RAMÓN,Promovido,1242
13131,SAN RAMÓN,Reprobado,97
13131,SAN RAMÓN,Retirado,187
13132,VITACURA,Promovido,2816
13132,VITACURA,Reprobado,24
13132,VITACURA,Retirado,72
