"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"231",7109,"SAN CLEMENTE","Particular Subvencionado",86,5.1
"232",7201,"CAUQUENES","Municipal",1030,5.3
"233",7201,"CAUQUENES","Particular Subvencionado",134,5.3
"234",7202,"CHANCO","Municipal",125,4.7
"235",7203,"PELLUHUE","Municipal",189,5.2
"236",7301,"CURICÓ","Corporación de Administración Delegada",567,5.1
"237",7301,"CURICÓ","Municipal",981,5.2
"238",7301,"CURICÓ","Particular Pagado",343,5.6
"239",7301,"CURICÓ","Particular Subvencionado",3266,5.3
"240",7302,"HUALAÑÉ","Municipal",235,5.2
"241",7303,"LICANTÉN","Municipal",135,5.3
"242",7303,"LICANTÉN","Particular Subvencionado",28,5.5
"243",7304,"MOLINA","Corporación de Administración Delegada",166,4.8
"244",7304,"MOLINA","Municipal",460,5
"245",7304,"MOLINA","Particular Subvencionado",374,5.2
"246",7305,"RAUCO","Municipal",57,5.4
"247",7306,"ROMERAL","Municipal",133,5.1
"248",7306,"ROMERAL","Particular Subvencionado",94,5.1
"249",7307,"SAGRADA FAMILIA","Municipal",186,5
"250",7308,"TENO","Municipal",208,4.9
"251",7308,"TENO","Particular Subvencionado",490,5.3
"252",7309,"VICHUQUEN","Municipal",70,5.2
"253",7401,"LINARES","Municipal",1930,5.2
"254",7401,"LINARES","Particular Pagado",62,5.8
"255",7401,"LINARES","Particular Subvencionado",1502,5.1
"256",7402,"COLBÚN","Municipal",239,5
"257",7403,"LONGAVÍ","Municipal",239,4.9
"258",7403,"LONGAVÍ","Particular Subvencionado",103,4.5
"259",7404,"PARRAL","Municipal",406,5
"260",7404,"PARRAL","Particular Subvencionado",642,5.4
"261",7405,"RETIRO","Municipal",432,4.9
"262",7405,"RETIRO","Particular Subvencionado",93,5.2
"263",7406,"SAN JAVIER","Municipal",650,5
"264",7406,"SAN JAVIER","Particular Subvencionado",793,5.2
"265",7407,"VILLA ALEGRE","Municipal",83,5.3
"266",7407,"VILLA ALEGRE","Particular Subvencionado",89,4.9
"267",7408,"YERBAS BUENAS","Corporación de Administración Delegada",129,4.3
"268",7408,"YERBAS BUENAS","Municipal",99,5.4
"269",8101,"CONCEPCIÓN","Corporación de Administración Delegada",1369,5.1
"270",8101,"CONCEPCIÓN","Particular Pagado",896,5.5
"271",8101,"CONCEPCIÓN","Particular Subvencionado",3550,5.4
"272",8101,"CONCEPCIÓN","Servicio Local de Educación",1929,5.1
"273",8102,"CORONEL","Corporación de Administración Delegada",85,4.9
"274",8102,"CORONEL","Municipal",1553,5.3
"275",8102,"CORONEL","Particular Pagado",58,5.6
"276",8102,"CORONEL","Particular Subvencionado",1512,5.2
"277",8103,"CHIGUAYANTE","Particular Pagado",233,5.4
"278",8103,"CHIGUAYANTE","Particular Subvencionado",1610,5.2
"279",8103,"CHIGUAYANTE","Servicio Local de Educación",319,5
"280",8104,"FLORIDA","Servicio Local de Educación",200,5.3
"281",8105,"HUALQUI","Particular Subvencionado",65,5.3
"282",8105,"HUALQUI","Servicio Local de Educación",272,5.3
"283",8106,"LOTA","Municipal",683,5.1
"284",8106,"LOTA","Particular Subvencionado",461,5.2
"285",8107,"PENCO","Municipal",380,5.2
"286",8107,"PENCO","Particular Subvencionado",143,5.3
"287",8108,"SAN PEDRO DE LA PAZ","Municipal",258,5
"288",8108,"SAN PEDRO DE LA PAZ","Particular Pagado",513,5.7
"289",8108,"SAN PEDRO DE LA PAZ","Particular Subvencionado",1893,5.2
