"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"1",1101,"IQUIQUE","Corporación de Administración Delegada",221,5.1
"2",1101,"IQUIQUE","Municipal",1711,5
"3",1101,"IQUIQUE","Particular Pagado",342,5.5
"4",1101,"IQUIQUE","Particular Subvencionado",3189,5.1
"5",1107,"ALTO HOSPICIO","Municipal",456,5.5
"6",1107,"ALTO HOSPICIO","Particular Subvencionado",2920,5.1
"7",1401,"POZO ALMONTE","Municipal",357,5.5
"8",1402,"CAMIÑA","Municipal",27,5.4
"9",1403,"COLCHANE","Municipal",25,6
"10",1404,"HUARA","Municipal",45,5.3
"11",1405,"PICA","Municipal",190,5.1
"12",2101,"ANTOFAGASTA","Municipal",4865,4.9
"13",2101,"ANTOFAGASTA","Particular Pagado",966,6
"14",2101,"ANTOFAGASTA","Particular Subvencionado",4067,5.5
"15",2102,"MEJILLONES","Municipal",383,5
"16",2103,"SIERRA GORDA","Municipal",18,5.5
"17",2104,"TALTAL","Municipal",363,6
"18",2201,"CALAMA","Municipal",2882,4.9
"19",2201,"CALAMA","Particular Pagado",347,5.5
"20",2201,"CALAMA","Particular Subvencionado",1765,5.4
"21",2202,"OLLAGÜE","Municipal",1,6.6
"22",2203,"SAN PEDRO DE ATACAMA","Municipal",210,5.2
"23",2301,"TOCOPILLA","Municipal",515,4.9
"24",2301,"TOCOPILLA","Particular Subvencionado",218,5.5
"25",2302,"MARÍA ELENA","Municipal",130,5.3
"26",3101,"COPIAPÓ","Municipal",2005,5
"27",3101,"COPIAPÓ","Particular Pagado",280,5.2
"28",3101,"COPIAPÓ","Particular Subvencionado",2259,5.5
"29",3102,"CALDERA","Municipal",204,5.1
"30",3102,"CALDERA","Particular Subvencionado",252,4.7
"31",3103,"TIERRA AMARILLA","Municipal",245,4.9
"32",3201,"CHAÑARAL","Municipal",335,4.8
"33",3201,"CHAÑARAL","Particular Subvencionado",35,5.8
"34",3202,"DIEGO DE ALMAGRO","Municipal",254,5
"35",3202,"DIEGO DE ALMAGRO","Particular Subvencionado",204,5.8
"36",3301,"VALLENAR","Particular Pagado",34,6.5
"37",3301,"VALLENAR","Particular Subvencionado",432,5.7
"38",3301,"VALLENAR","Servicio Local de Educación",1151,4.9
"39",3302,"ALTO DEL CARMEN","Servicio Local de Educación",119,3.8
"40",3303,"FREIRINA","Servicio Local de Educación",135,5.5
"41",3304,"HUASCO","Servicio Local de Educación",201,4.9
"42",4101,"LA SERENA","Municipal",1676,5.2
"43",4101,"LA SERENA","Particular Pagado",1344,5.8
"44",4101,"LA SERENA","Particular Subvencionado",4552,5.3
"45",4102,"COQUIMBO","Particular Pagado",236,5.8
"46",4102,"COQUIMBO","Particular Subvencionado",2937,5.4
"47",4102,"COQUIMBO","Servicio Local de Educación",1713,4.8
"48",4103,"ANDACOLLO","Particular Subvencionado",119,5.5
"49",4103,"ANDACOLLO","Servicio Local de Educación",128,5
"50",4104,"LA HIGUERA","Municipal",41,4.9
"51",4105,"PAIGUANO","Municipal",61,4.5
"52",4106,"VICUÑA","Municipal",276,4.7
"53",4106,"VICUÑA","Particular Subvencionado",338,5.4
"54",4201,"ILLAPEL","Municipal",599,5.5
"55",4201,"ILLAPEL","Particular Subvencionado",363,5
"56",4202,"CANELA","Municipal",188,5.1
"57",4203,"LOS VILOS","Municipal",271,4.9
"58",4203,"LOS VILOS","Particular Subvencionado",258,5
"59",4204,"SALAMANCA","Municipal",173,4.9
"60",4204,"SALAMANCA","Particular Subvencionado",549,5.3
"61",4301,"OVALLE","Corporación de Administración Delegada",239,5
"62",4301,"OVALLE","Municipal",1400,5
"63",4301,"OVALLE","Particular Pagado",133,5.2
"64",4301,"OVALLE","Particular Subvencionado",1689,5.5
"65",4302,"COMBARBALÁ","Municipal",228,5.2
"66",4302,"COMBARBALÁ","Particular Subvencionado",41,4.2
"67",4303,"MONTE PATRIA","Municipal",383,4.6
"68",4303,"MONTE PATRIA","Particular Subvencionado",140,5.2
"69",4304,"PUNITAQUI","Municipal",113,4.9
"70",4304,"PUNITAQUI","Particular Subvencionado",63,5.7
"71",4305,"RÍO HURTADO","Municipal",81,5.3
"72",5101,"VALPARAÍSO","Corporación de Administración Delegada",572,5.2
"73",5101,"VALPARAÍSO","Municipal",2773,5.3
"74",5101,"VALPARAÍSO","Particular Pagado",506,5.5
"75",5101,"VALPARAÍSO","Particular Subvencionado",3122,5.3
"76",5102,"CASABLANCA","Municipal",337,5.1
"77",5102,"CASABLANCA","Particular Pagado",6,6.6
"78",5102,"CASABLANCA","Particular Subvencionado",334,5.5
"79",5103,"CONCÓN","Municipal",133,5.3
"80",5103,"CONCÓN","Particular Pagado",316,6.2
"81",5103,"CONCÓN","Particular Subvencionado",596,5.3
"82",5104,"JUAN FERNÁNDEZ","Municipal",17,5.6
"83",5105,"PUCHUNCAVÍ","Municipal",296,5.2
"84",5107,"QUINTERO","Municipal",107,5
"85",5107,"QUINTERO","Particular Subvencionado",592,5.1
"86",5109,"VIÑA DEL MAR","Corporación de Administración Delegada",301,4.8
"87",5109,"VIÑA DEL MAR","Municipal",1091,4.8
"88",5109,"VIÑA DEL MAR","Particular Pagado",1678,5.6
"89",5109,"VIÑA DEL MAR","Particular Subvencionado",4098,5.3
"90",5201,"ISLA DE PASCUA","Municipal",129,5.8
"91",5201,"ISLA DE PASCUA","Particular Subvencionado",68,5.6
"92",5301,"LOS ANDES","Corporación de Administración Delegada",409,5.7
"93",5301,"LOS ANDES","Municipal",824,4.9
"94",5301,"LOS ANDES","Particular Pagado",241,4.8
"95",5301,"LOS ANDES","Particular Subvencionado",890,5.3
"96",5302,"CALLE LARGA","Municipal",57,4.6
"97",5302,"CALLE LARGA","Particular Pagado",52,4.6
"98",5302,"CALLE LARGA","Particular Subvencionado",186,6
"99",5303,"RINCONADA","Particular Subvencionado",60,4.9
"100",5304,"SAN ESTEBAN","Municipal",133,4.6
"101",5401,"LA LIGUA","Municipal",407,4.9
"102",5401,"LA LIGUA","Particular Subvencionado",486,5.3
"103",5402,"CABILDO","Municipal",448,4.8
"104",5402,"CABILDO","Particular Subvencionado",209,5.9
"105",5403,"PAPUDO","Municipal",80,4.2
"106",5403,"PAPUDO","Particular Subvencionado",41,5.7
"107",5404,"PETORCA","Municipal",122,4.9
"108",5404,"PETORCA","Particular Subvencionado",76,4
"109",5405,"ZAPALLAR","Municipal",184,4.3
"110",5405,"ZAPALLAR","Particular Subvencionado",59,5.6
"111",5501,"QUILLOTA","Municipal",777,5.1
"112",5501,"QUILLOTA","Particular Pagado",546,5.5
"113",5501,"QUILLOTA","Particular Subvencionado",1616,5.3
"114",5502,"CALERA","Corporación de Administración Delegada",381,5.6
"115",5502,"CALERA","Municipal",151,4.6
"116",5502,"CALERA","Particular Pagado",48,4.4
"117",5502,"CALERA","Particular Subvencionado",831,5.1
"118",5503,"HIJUELAS","Municipal",111,5.5
"119",5503,"HIJUELAS","Particular Subvencionado",143,5.2
"120",5504,"LA CRUZ","Municipal",45,5.1
"121",5504,"LA CRUZ","Particular Subvencionado",127,4.6
"122",5506,"NOGALES","Municipal",145,5.2
"123",5506,"NOGALES","Particular Subvencionado",381,5.2
"124",5601,"SAN ANTONIO","Municipal",830,5.2
"125",5601,"SAN ANTONIO","Particular Subvencionado",1835,5.2
"126",5602,"ALGARROBO","Municipal",182,4.9
"127",5602,"ALGARROBO","Particular Subvencionado",145,5.1
"128",5603,"CARTAGENA","Municipal",301,4.4
"129",5603,"CARTAGENA","Particular Subvencionado",292,5.3
"130",5604,"EL QUISCO","Municipal",152,5.3
"131",5604,"EL QUISCO","Particular Subvencionado",48,5.5
"132",5605,"EL TABO","Municipal",138,4.9
"133",5606,"SANTO DOMINGO","Municipal",136,5.5
"134",5606,"SANTO DOMINGO","Particular Subvencionado",184,5.1
"135",5701,"SAN FELIPE","Corporación de Administración Delegada",843,4.9
"136",5701,"SAN FELIPE","Municipal",400,5.1
"137",5701,"SAN FELIPE","Particular Pagado",228,5.4
"138",5701,"SAN FELIPE","Particular Subvencionado",1378,5.3
"139",5702,"CATEMU","Municipal",186,5.1
"140",5702,"CATEMU","Particular Subvencionado",171,5.1
"141",5703,"LLAILLAY","Municipal",273,5.3
"142",5703,"LLAILLAY","Particular Subvencionado",322,5
"143",5704,"PANQUEHUE","Municipal",90,5.4
"144",5704,"PANQUEHUE","Particular Pagado",36,5.6
"145",5705,"PUTAENDO","Municipal",76,4.9
"146",5705,"PUTAENDO","Particular Subvencionado",102,5.1
"147",5706,"SANTA MARÍA","Municipal",48,4.8
"148",5706,"SANTA MARÍA","Particular Subvencionado",148,5.4
"149",5801,"QUILPUÉ","Municipal",1263,5.1
"150",5801,"QUILPUÉ","Particular Pagado",170,5
"151",5801,"QUILPUÉ","Particular Subvencionado",3067,5.3
"152",5802,"LIMACHE","Municipal",470,4.7
"153",5802,"LIMACHE","Particular Pagado",28,4.6
"154",5802,"LIMACHE","Particular Subvencionado",519,5.1
"155",5803,"OLMUÉ","Municipal",155,5.1
"156",5803,"OLMUÉ","Particular Subvencionado",139,5
"157",5804,"VILLA ALEMANA","Municipal",556,4.7
"158",5804,"VILLA ALEMANA","Particular Pagado",424,4.7
"159",5804,"VILLA ALEMANA","Particular Subvencionado",1993,5.4
"160",6101,"RANCAGUA","Corporación de Administración Delegada",1580,3.8
"161",6101,"RANCAGUA","Municipal",2984,5.3
"162",6101,"RANCAGUA","Particular Pagado",858,5.6
"163",6101,"RANCAGUA","Particular Subvencionado",2486,5.3
"164",6102,"CODEGUA","Municipal",119,5.2
"165",6102,"CODEGUA","Particular Subvencionado",23,4.7
"166",6103,"COINCO","Municipal",62,5.5
"167",6104,"COLTAUCO","Municipal",157,4.2
"168",6104,"COLTAUCO","Particular Subvencionado",294,5.3
"169",6105,"DOÑIHUE","Municipal",250,4.8
"170",6105,"DOÑIHUE","Particular Subvencionado",222,5.1
"171",6106,"GRANEROS","Municipal",190,4.6
"172",6106,"GRANEROS","Particular Subvencionado",835,5
"173",6107,"LAS CABRAS","Municipal",373,4.1
"174",6107,"LAS CABRAS","Particular Subvencionado",289,4.8
"175",6108,"MACHALÍ","Municipal",185,5.5
"176",6108,"MACHALÍ","Particular Pagado",605,5.7
"177",6108,"MACHALÍ","Particular Subvencionado",645,5.5
"178",6109,"MALLOA","Municipal",172,5.1
"179",6110,"MOSTAZAL","Municipal",300,4.8
"180",6110,"MOSTAZAL","Particular Subvencionado",58,4.5
"181",6111,"OLIVAR","Municipal",245,5.2
"182",6111,"OLIVAR","Particular Subvencionado",174,5.3
"183",6112,"PEUMO","Municipal",154,4.5
"184",6112,"PEUMO","Particular Subvencionado",92,5
"185",6113,"PICHIDEGUA","Municipal",186,4.9
"186",6114,"QUINTA DE TILCOCO","Municipal",147,4.8
"187",6114,"QUINTA DE TILCOCO","Particular Subvencionado",152,4.9
"188",6115,"RENGO","Municipal",1155,5.2
"189",6115,"RENGO","Particular Subvencionado",364,5
"190",6116,"REQUÍNOA","Municipal",126,5.3
"191",6116,"REQUÍNOA","Particular Subvencionado",314,5.2
"192",6117,"SAN VICENTE","Municipal",923,4
"193",6117,"SAN VICENTE","Particular Subvencionado",692,5.5
"194",6201,"PICHILEMU","Municipal",297,4.3
"195",6201,"PICHILEMU","Particular Subvencionado",134,4.6
"196",6203,"LITUECHE","Municipal",120,5
"197",6204,"MARCHIHUE","Municipal",84,4.5
"198",6205,"NAVIDAD","Municipal",137,4.5
"199",6206,"PAREDONES","Municipal",75,4.6
"200",6301,"SAN FERNANDO","Corporación de Administración Delegada",1018,5
"201",6301,"SAN FERNANDO","Municipal",618,4.6
"202",6301,"SAN FERNANDO","Particular Pagado",233,5.3
