"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"1",1101,"IQUIQUE","Promovido",15423
"2",1101,"IQUIQUE","Reprobado",262
"3",1101,"IQUIQUE","Retirado",1359
"4",1107,"ALTO HOSPICIO","Promovido",10042
"5",1107,"ALTO HOSPICIO","Reprobado",348
"6",1107,"ALTO HOSPICIO","Retirado",890
"7",1401,"POZO ALMONTE","Promovido",1343
"8",1401,"POZO ALMONTE","Reprobado",35
"9",1401,"POZO ALMONTE","Retirado",117
"10",1402,"CAMIÑA","Promovido",105
"11",1402,"CAMIÑA","Reprobado",1
"12",1402,"CAMIÑA","Retirado",11
"13",1403,"COLCHANE","Promovido",49
"14",1403,"COLCHANE","Reprobado",2
"15",1403,"COLCHANE","Retirado",2
"16",1404,"HUARA","Promovido",222
"17",1404,"HUARA","Reprobado",1
"18",1404,"HUARA","Retirado",13
"19",1405,"PICA","Promovido",482
"20",1405,"PICA","Reprobado",11
"21",1405,"PICA","Retirado",32
"22",2101,"ANTOFAGASTA","Promovido",28121
"23",2101,"ANTOFAGASTA","Reprobado",618
"24",2101,"ANTOFAGASTA","Retirado",2261
"25",2102,"MEJILLONES","Promovido",1000
"26",2102,"MEJILLONES","Reprobado",60
"27",2102,"MEJILLONES","Retirado",99
"28",2103,"SIERRA GORDA","Promovido",131
"29",2103,"SIERRA GORDA","Reprobado",1
"30",2103,"SIERRA GORDA","Retirado",7
"31",2104,"TALTAL","Promovido",987
"32",2104,"TALTAL","Reprobado",4
"33",2104,"TALTAL","Retirado",27
"34",2201,"CALAMA","Promovido",13731
"35",2201,"CALAMA","Reprobado",224
"36",2201,"CALAMA","Retirado",1016
"37",2202,"OLLAGÜE","Promovido",21
"38",2202,"OLLAGÜE","Retirado",1
"39",2203,"SAN PEDRO DE ATACAMA","Promovido",699
"40",2203,"SAN PEDRO DE ATACAMA","Reprobado",15
"41",2203,"SAN PEDRO DE ATACAMA","Retirado",62
"42",2301,"TOCOPILLA","Promovido",2186
"43",2301,"TOCOPILLA","Reprobado",55
"44",2301,"TOCOPILLA","Retirado",154
"45",2302,"MARÍA ELENA","Promovido",362
"46",2302,"MARÍA ELENA","Reprobado",19
"47",2302,"MARÍA ELENA","Retirado",31
"48",3101,"COPIAPÓ","Promovido",13146
"49",3101,"COPIAPÓ","Reprobado",379
"50",3101,"COPIAPÓ","Retirado",811
"51",3102,"CALDERA","Promovido",1536
