"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"107",5601,"SAN ANTONIO","Urbano",7136,5.8
"108",5602,"ALGARROBO","Rural",202,5.9
"109",5602,"ALGARROBO","Urbano",863,5.9
"110",5603,"CARTAGENA","Rural",138,6
"111",5603,"CARTAGENA","Urbano",1760,5.9
"112",5604,"EL QUISCO","Rural",180,6.2
"113",5604,"EL QUISCO","Urbano",794,6
"114",5605,"EL TABO","Urbano",616,5.7
"115",5606,"SANTO DOMINGO","Rural",406,6.2
"116",5606,"SANTO DOMINGO","Urbano",702,5.9
"117",5701,"SAN FELIPE","Rural",399,5.7
"118",5701,"SAN FELIPE","Urbano",5621,5.8
"119",5702,"CATEMU","Rural",388,5.8
"120",5702,"CATEMU","Urbano",433,5.8
"121",5703,"LLAILLAY","Rural",353,5.7
"122",5703,"LLAILLAY","Urbano",1807,5.9
"123",5704,"PANQUEHUE","Rural",156,6.2
"124",5704,"PANQUEHUE","Urbano",515,6
"125",5705,"PUTAENDO","Rural",359,5.9
"126",5705,"PUTAENDO","Urbano",707,6
"127",5706,"SANTA MARÍA","Rural",229,5.8
"128",5706,"SANTA MARÍA","Urbano",682,5.9
"129",5801,"QUILPUÉ","Rural",97,5.8
"130",5801,"QUILPUÉ","Urbano",10811,5.9
"131",5802,"LIMACHE","Rural",93,5.3
"132",5802,"LIMACHE","Urbano",3369,5.9
"133",5803,"OLMUÉ","Rural",211,5.9
"134",5803,"OLMUÉ","Urbano",736,5.9
"135",5804,"VILLA ALEMANA","Rural",56,6.3
"136",5804,"VILLA ALEMANA","Urbano",8776,6
"137",6101,"RANCAGUA","Rural",1032,5.6
"138",6101,"RANCAGUA","Urbano",17334,5.9
"139",6102,"CODEGUA","Rural",288,5.7
"140",6102,"CODEGUA","Urbano",434,5.7
"141",6103,"COINCO","Rural",327,5.8
"142",6103,"COINCO","Urbano",126,6.3
"143",6104,"COLTAUCO","Rural",827,5.5
"144",6104,"COLTAUCO","Urbano",573,5.7
"145",6105,"DOÑIHUE","Rural",570,5.9
"146",6105,"DOÑIHUE","Urbano",1066,6
"147",6106,"GRANEROS","Rural",250,5.5
"148",6106,"GRANEROS","Urbano",2768,5.9
"149",6107,"LAS CABRAS","Rural",758,5.6
"150",6107,"LAS CABRAS","Urbano",1219,5.9
"151",6108,"MACHALÍ","Rural",290,5.9
"152",6108,"MACHALÍ","Urbano",4426,6
"153",6109,"MALLOA","Rural",306,5.8
"154",6109,"MALLOA","Urbano",315,5.8
"155",6110,"MOSTAZAL","Rural",562,5.8
"156",6110,"MOSTAZAL","Urbano",1267,5.8
"157",6111,"OLIVAR","Rural",251,5.6
"158",6111,"OLIVAR","Urbano",547,5.7
"159",6112,"PEUMO","Rural",451,5.7
"160",6112,"PEUMO","Urbano",466,5.7
"161",6113,"PICHIDEGUA","Rural",860,5.8
"162",6113,"PICHIDEGUA","Urbano",270,5.9
"163",6114,"QUINTA DE TILCOCO","Rural",387,6
"164",6114,"QUINTA DE TILCOCO","Urbano",501,5.8
"165",6115,"RENGO","Rural",1043,6
"166",6115,"RENGO","Urbano",3639,6
"167",6116,"REQUÍNOA","Rural",697,5.7
"168",6116,"REQUÍNOA","Urbano",1023,6
"169",6117,"SAN VICENTE","Rural",936,5.8
"170",6117,"SAN VICENTE","Urbano",2320,5.9
"171",6201,"PICHILEMU","Rural",494,5.9
"172",6201,"PICHILEMU","Urbano",925,6
"173",6202,"LA ESTRELLA","Rural",32,5.8
"174",6202,"LA ESTRELLA","Urbano",196,5.6
"175",6203,"LITUECHE","Rural",551,5.8
"176",6204,"MARCHIHUE","Rural",300,5.9
"177",6204,"MARCHIHUE","Urbano",209,5.9
"178",6205,"NAVIDAD","Rural",249,5.5
"179",6205,"NAVIDAD","Urbano",262,5.9
"180",6206,"PAREDONES","Rural",122,6.1
"181",6206,"PAREDONES","Urbano",234,6
"182",6301,"SAN FERNANDO","Rural",748,5.7
"183",6301,"SAN FERNANDO","Urbano",5217,5.9
"184",6302,"CHÉPICA","Rural",441,5.9
"185",6302,"CHÉPICA","Urbano",411,5.9
"186",6303,"CHIMBARONGO","Rural",1204,5.8
"187",6303,"CHIMBARONGO","Urbano",1250,5.9
"188",6304,"LOLOL","Rural",225,6
"189",6304,"LOLOL","Urbano",189,6
"190",6305,"NANCAGUA","Rural",420,5.7
"191",6305,"NANCAGUA","Urbano",811,5.9
"192",6306,"PALMILLA","Rural",330,5.9
"193",6306,"PALMILLA","Urbano",177,5.8
"194",6307,"PERALILLO","Rural",184,5.9
"195",6307,"PERALILLO","Urbano",515,6
"196",6308,"PLACILLA","Rural",417,5.8
"197",6308,"PLACILLA","Urbano",79,5.5
"198",6309,"PUMANQUE","Rural",120,5.9
"199",6309,"PUMANQUE","Urbano",114,6.3
"200",6310,"SANTA CRUZ","Rural",743,5.8
"201",6310,"SANTA CRUZ","Urbano",2806,5.9
"202",7101,"TALCA","Rural",544,5.9
"203",7101,"TALCA","Urbano",18108,5.9
"204",7102,"CONSTITUCIÓN","Rural",922,5.8
"205",7102,"CONSTITUCIÓN","Urbano",2647,6
"206",7103,"CUREPTO","Rural",281,5.9
"207",7103,"CUREPTO","Urbano",222,6
"208",7104,"EMPEDRADO","Rural",66,5.5
"209",7104,"EMPEDRADO","Urbano",184,6
"210",7105,"MAULE","Rural",1028,6.1
"211",7105,"MAULE","Urbano",1137,6
"212",7106,"PELARCO","Rural",427,5.9
"213",7106,"PELARCO","Urbano",240,6.1
"214",7107,"PENCAHUE","Rural",239,5.9
"215",7107,"PENCAHUE","Urbano",175,5.9
"216",7108,"RÍO CLARO","Rural",590,5.7
"217",7108,"RÍO CLARO","Urbano",393,5.9
"218",7109,"SAN CLEMENTE","Rural",1388,5.9
"219",7109,"SAN CLEMENTE","Urbano",1812,5.9
"220",7110,"SAN RAFAEL","Rural",311,5.9
"221",7110,"SAN RAFAEL","Urbano",508,6.1
"222",7201,"CAUQUENES","Rural",284,5.8
"223",7201,"CAUQUENES","Urbano",2665,6
"224",7202,"CHANCO","Rural",223,5.9
"225",7202,"CHANCO","Urbano",361,5.9
"226",7203,"PELLUHUE","Rural",159,6.1
"227",7203,"PELLUHUE","Urbano",491,5.9
"228",7301,"CURICÓ","Rural",1838,6
"229",7301,"CURICÓ","Urbano",10164,5.9
"230",7302,"HUALAÑÉ","Rural",269,6.3
"231",7302,"HUALAÑÉ","Urbano",372,6.1
"232",7303,"LICANTÉN","Rural",166,5.6
"233",7303,"LICANTÉN","Urbano",300,5.9
"234",7304,"MOLINA","Rural",1013,5.8
"235",7304,"MOLINA","Urbano",2199,5.9
"236",7305,"RAUCO","Rural",322,6.2
"237",7305,"RAUCO","Urbano",128,5.9
"238",7306,"ROMERAL","Rural",467,5.9
"239",7306,"ROMERAL","Urbano",593,5.8
"240",7307,"SAGRADA FAMILIA","Rural",695,6
"241",7307,"SAGRADA FAMILIA","Urbano",422,5.9
"242",7308,"TENO","Rural",1385,6
"243",7308,"TENO","Urbano",458,6
"244",7309,"VICHUQUEN","Rural",156,6
"245",7309,"VICHUQUEN","Urbano",33,5.6
"246",7401,"LINARES","Rural",1043,5.9
"247",7401,"LINARES","Urbano",6908,5.9
"248",7402,"COLBÚN","Rural",963,5.7
"249",7402,"COLBÚN","Urbano",611,5.9
"250",7403,"LONGAVÍ","Rural",1575,5.8
"251",7403,"LONGAVÍ","Urbano",625,5.8
"252",7404,"PARRAL","Rural",473,5.7
"253",7404,"PARRAL","Urbano",2813,5.9
"254",7405,"RETIRO","Rural",852,5.9
"255",7405,"RETIRO","Urbano",633,5.7
"256",7406,"SAN JAVIER","Rural",915,5.7
"257",7406,"SAN JAVIER","Urbano",3014,5.8
"258",7407,"VILLA ALEGRE","Rural",868,5.8
"259",7407,"VILLA ALEGRE","Urbano",169,5.8
"260",7408,"YERBAS BUENAS","Rural",699,5.7
"261",7408,"YERBAS BUENAS","Urbano",154,5.6
"262",8101,"CONCEPCIÓN","Rural",226,6
"263",8101,"CONCEPCIÓN","Urbano",14307,5.9
"264",8102,"CORONEL","Rural",355,6.1
"265",8102,"CORONEL","Urbano",8416,5.9
"266",8103,"CHIGUAYANTE","Urbano",5411,6
"267",8104,"FLORIDA","Rural",284,5.8
"268",8104,"FLORIDA","Urbano",390,6
"269",8105,"HUALQUI","Rural",239,5.8
"270",8105,"HUALQUI","Urbano",1328,5.8
"271",8106,"LOTA","Urbano",3142,5.8
"272",8107,"PENCO","Rural",194,5.7
"273",8107,"PENCO","Urbano",2682,5.9
"274",8108,"SAN PEDRO DE LA PAZ","Urbano",10147,5.9
"275",8109,"SANTA JUANA","Rural",106,5.9
"276",8109,"SANTA JUANA","Urbano",929,5.9
"277",8110,"TALCAHUANO","Rural",132,5.8
"278",8110,"TALCAHUANO","Urbano",8310,5.9
"279",8111,"TOMÉ","Rural",536,5.9
"280",8111,"TOMÉ","Urbano",2991,6.1
"281",8112,"HUALPÉN","Urbano",5021,6
"282",8201,"LEBU","Rural",246,5.7
"283",8201,"LEBU","Urbano",1690,5.7
"284",8202,"ARAUCO","Rural",739,5.9
"285",8202,"ARAUCO","Urbano",1908,5.9
"286",8203,"CAÑETE","Rural",1081,5.8
"287",8203,"CAÑETE","Urbano",1599,5.9
"288",8204,"CONTULMO","Rural",300,5.7
"289",8204,"CONTULMO","Urbano",167,5.8
"290",8205,"CURANILAHUE","Rural",93,5.7
"291",8205,"CURANILAHUE","Urbano",2216,6
"292",8206,"LOS ÁLAMOS","Rural",1218,5.8
"293",8206,"LOS ÁLAMOS","Urbano",606,5.7
"294",8207,"TIRÚA","Rural",663,5.8
"295",8207,"TIRÚA","Urbano",226,5.8
"296",8301,"LOS ÁNGELES","Rural",3138,5.9
"297",8301,"LOS ÁNGELES","Urbano",13107,5.9
"298",8302,"ANTUCO","Rural",43,6.5
"299",8302,"ANTUCO","Urbano",202,5.9
"300",8303,"CABRERO","Rural",307,5.8
"301",8303,"CABRERO","Urbano",1766,5.9
"302",8304,"LAJA","Rural",226,5.9
"303",8304,"LAJA","Urbano",1459,6.1
"304",8305,"MULCHÉN","Rural",171,6
"305",8305,"MULCHÉN","Urbano",1701,5.9
"306",8306,"NACIMIENTO","Rural",79,5.8
"307",8306,"NACIMIENTO","Urbano",1901,6
"308",8307,"NEGRETE","Rural",214,5.5
"309",8307,"NEGRETE","Urbano",446,5.8
