"","codigo_comuna","nombre_comuna","TipoEstablecimiento","n_estudiantes","promedio"
"296",8111,"TOMÉ","Municipal",2986,5.8
"297",8111,"TOMÉ","Particular Subvencionado",706,5.8
"298",8112,"HUALPÉN","Municipal",2125,5.5
"299",8112,"HUALPÉN","Particular Pagado",791,5.7
"300",8112,"HUALPÉN","Particular Subvencionado",2638,5.7
"301",8201,"LEBU","Municipal",1846,5.5
"302",8201,"LEBU","Particular Subvencionado",112,5.6
"303",8202,"ARAUCO","Municipal",1813,5.5
"304",8202,"ARAUCO","Particular Pagado",131,6.3
"305",8202,"ARAUCO","Particular Subvencionado",842,5.8
"306",8203,"CAÑETE","Municipal",1712,5.5
"307",8203,"CAÑETE","Particular Subvencionado",1116,5.6
"308",8204,"CONTULMO","Municipal",323,5.6
"309",8204,"CONTULMO","Particular Subvencionado",153,5.2
"310",8205,"CURANILAHUE","Municipal",1763,5.8
"311",8205,"CURANILAHUE","Particular Subvencionado",694,5.8
"312",8206,"LOS ÁLAMOS","Municipal",1045,5.4
"313",8206,"LOS ÁLAMOS","Particular Subvencionado",775,5.7
"314",8207,"TIRÚA","Municipal",679,5.5
"315",8207,"TIRÚA","Particular Subvencionado",328,5.3
"316",8301,"LOS ÁNGELES","Municipal",5904,5.5
"317",8301,"LOS ÁNGELES","Particular Pagado",936,6.1
"318",8301,"LOS ÁNGELES","Particular Subvencionado",9197,5.7
"319",8302,"ANTUCO","Municipal",194,5.7
"320",8302,"ANTUCO","Particular Subvencionado",70,5.8
"321",8303,"CABRERO","Municipal",1033,5.5
"322",8303,"CABRERO","Particular Subvencionado",1017,5.6
"323",8304,"LAJA","Municipal",1385,5.6
"324",8304,"LAJA","Particular Pagado",8,6.1
"325",8304,"LAJA","Particular Subvencionado",435,5.7
"326",8305,"MULCHÉN","Municipal",1595,5.6
"327",8305,"MULCHÉN","Particular Subvencionado",607,5.7
"328",8306,"NACIMIENTO","Municipal",1283,5.4
"329",8306,"NACIMIENTO","Particular Subvencionado",831,5.9
"330",8307,"NEGRETE","Municipal",686,5.5
"331",8307,"NEGRETE","Particular Subvencionado",7,6
"332",8308,"QUILACO","Municipal",209,5.4
"333",8309,"QUILLECO","Municipal",509,5.5
"334",8309,"QUILLECO","Particular Subvencionado",56,5.6
"335",8310,"SAN ROSENDO","Municipal",151,5.7
"336",8311,"SANTA BÁRBARA","Municipal",666,5.8
"337",8311,"SANTA BÁRBARA","Particular Subvencionado",411,5.7
"338",8312,"TUCAPEL","Municipal",727,5.7
"339",8312,"TUCAPEL","Particular Subvencionado",224,5.9
"340",8313,"YUMBEL","Municipal",611,5.5
"341",8313,"YUMBEL","Particular Subvencionado",727,5.6
"342",8314,"ALTO BIOBÍO","Municipal",414,5.3
"343",8314,"ALTO BIOBÍO","Particular Subvencionado",214,5.8
"344",9101,"TEMUCO","Municipal",5281,5.5
"345",9101,"TEMUCO","Particular Pagado",2076,6.1
"346",9101,"TEMUCO","Particular Subvencionado",13633,5.6
"347",9102,"CARAHUE","Particular Subvencionado",945,5.6
"348",9102,"CARAHUE","Servicio Local de Educación",1027,5.7
"349",9103,"CUNCO","Municipal",531,5.5
"350",9103,"CUNCO","Particular Subvencionado",613,5.6
"351",9104,"CURARREHUE","Municipal",221,5.5
"352",9104,"CURARREHUE","Particular Subvencionado",409,5.6
"353",9105,"FREIRE","Municipal",571,5.4
"354",9105,"FREIRE","Particular Subvencionado",1035,5.4
"355",9106,"GALVARINO","Municipal",786,5.5
"356",9106,"GALVARINO","Particular Subvencionado",203,5.4
"357",9107,"GORBEA","Municipal",680,5.6
"358",9107,"GORBEA","Particular Subvencionado",231,5.6
"359",9108,"LAUTARO","Municipal",1736,5.6
"360",9108,"LAUTARO","Particular Subvencionado",1297,5.6
"361",9109,"LONCOCHE","Municipal",850,5.5
"362",9109,"LONCOCHE","Particular Subvencionado",822,5.7
"363",9110,"MELIPEUCO","Municipal",181,5.5
"364",9110,"MELIPEUCO","Particular Subvencionado",278,5.7
"365",9111,"NUEVA IMPERIAL","Particular Subvencionado",1894,5.5
"366",9111,"NUEVA IMPERIAL","Servicio Local de Educación",702,5.5
"367",9112,"PADRE LAS CASAS","Municipal",770,5.4
"368",9112,"PADRE LAS CASAS","Particular Subvencionado",4544,5.5
"369",9113,"PERQUENCO","Municipal",361,5.4
"370",9113,"PERQUENCO","Particular Subvencionado",153,5.2
"371",9114,"PITRUFQUÉN","Municipal",576,5.5
"372",9114,"PITRUFQUÉN","Particular Subvencionado",1332,5.5
"373",9115,"PUCÓN","Municipal",978,5.5
"374",9115,"PUCÓN","Particular Subvencionado",1125,5.7
"375",9116,"SAAVEDRA","Particular Subvencionado",594,5.5
"376",9116,"SAAVEDRA","Servicio Local de Educación",390,5.6
"377",9117,"TEODORO SCHMIDT","Particular Subvencionado",635,5.5
"378",9117,"TEODORO SCHMIDT","Servicio Local de Educación",391,5.7
"379",9118,"TOLTÉN","Particular Subvencionado",370,5.6
"380",9118,"TOLTÉN","Servicio Local de Educación",419,5.7
"381",9119,"VILCÚN","Municipal",809,5.5
"382",9119,"VILCÚN","Particular Subvencionado",1500,5.5
"383",9120,"VILLARRICA","Municipal",1145,5.7
"384",9120,"VILLARRICA","Particular Pagado",215,6.3
"385",9120,"VILLARRICA","Particular Subvencionado",3474,5.8
"386",9121,"CHOLCHOL","Municipal",236,5.4
"387",9121,"CHOLCHOL","Particular Subvencionado",771,5.4
"388",9201,"ANGOL","Municipal",2123,5.5
"389",9201,"ANGOL","Particular Pagado",135,6.3
"390",9201,"ANGOL","Particular Subvencionado",1853,5.7
"391",9202,"COLLIPULLI","Municipal",1365,5.5
"392",9202,"COLLIPULLI","Particular Subvencionado",832,5.6
"393",9203,"CURACAUTÍN","Municipal",809,5.6
"394",9203,"CURACAUTÍN","Particular Subvencionado",404,5.6
"395",9204,"ERCILLA","Municipal",454,5.3
"396",9204,"ERCILLA","Particular Subvencionado",251,5.8
"397",9205,"LONQUIMAY","Municipal",638,5.5
"398",9205,"LONQUIMAY","Particular Subvencionado",203,5.6
"399",9206,"LOS SAUCES","Municipal",404,5.6
"400",9206,"LOS SAUCES","Particular Subvencionado",91,5.6
"401",9207,"LUMACO","Municipal",534,5.4
"402",9207,"LUMACO","Particular Subvencionado",154,5.4
"403",9208,"PURÉN","Municipal",646,5.4
"404",9208,"PURÉN","Particular Subvencionado",244,5.6
"405",9209,"RENAICO","Municipal",385,5.3
"406",9209,"RENAICO","Particular Subvencionado",324,5.7
"407",9210,"TRAIGUÉN","Municipal",706,5.3
"408",9210,"TRAIGUÉN","Particular Subvencionado",647,5.6
"409",9211,"VICTORIA","Municipal",1077,5.5
"410",9211,"VICTORIA","Particular Subvencionado",1333,5.6
"411",10101,"PUERTO MONTT","Municipal",8507,5.4
"412",10101,"PUERTO MONTT","Particular Pagado",1412,6.1
"413",10101,"PUERTO MONTT","Particular Subvencionado",10411,5.6
"414",10102,"CALBUCO","Municipal",1613,5.4
"415",10102,"CALBUCO","Particular Subvencionado",1074,5.5
"416",10103,"COCHAMÓ","Municipal",237,5.5
"417",10104,"FRESIA","Municipal",423,5.6
"418",10104,"FRESIA","Particular Subvencionado",394,5.3
"419",10105,"FRUTILLAR","Municipal",897,5.6
"420",10105,"FRUTILLAR","Particular Pagado",167,5.9
"421",10105,"FRUTILLAR","Particular Subvencionado",489,5.6
"422",10106,"LOS MUERMOS","Municipal",671,5.3
"423",10106,"LOS MUERMOS","Particular Subvencionado",673,5.5
"424",10107,"LLANQUIHUE","Municipal",813,5.6
"425",10107,"LLANQUIHUE","Particular Subvencionado",348,5.9
"426",10108,"MAULLIN","Municipal",708,5.8
"427",10108,"MAULLIN","Particular Subvencionado",164,5.5
"428",10109,"PUERTO VARAS","Municipal",1405,5.4
"429",10109,"PUERTO VARAS","Particular Pagado",1078,6.2
"430",10109,"PUERTO VARAS","Particular Subvencionado",1079,5.5
"431",10201,"CASTRO","Municipal",2178,5.6
"432",10201,"CASTRO","Particular Subvencionado",1458,5.9
"433",10202,"ANCUD","Municipal",866,5.6
"434",10202,"ANCUD","Particular Subvencionado",2187,5.7
"435",10203,"CHONCHI","Municipal",928,5.7
"436",10204,"CURACO DE VÉLEZ","Municipal",219,5.5
"437",10205,"DALCAHUE","Municipal",498,5.6
"438",10205,"DALCAHUE","Particular Subvencionado",677,5.6
"439",10206,"PUQUELDÓN","Municipal",193,5.8
"440",10206,"PUQUELDÓN","Particular Subvencionado",65,6.1
"441",10207,"QUEILÉN","Municipal",287,5.8
"442",10207,"QUEILÉN","Particular Subvencionado",77,5.7
"443",10208,"QUELLÓN","Municipal",1238,5.6
"444",10208,"QUELLÓN","Particular Subvencionado",1140,5.5
"445",10209,"QUEMCHI","Municipal",453,5.6
"446",10209,"QUEMCHI","Particular Subvencionado",146,5.7
"447",10210,"QUINCHAO","Municipal",408,5.5
"448",10210,"QUINCHAO","Particular Subvencionado",213,5.6
"449",10301,"OSORNO","Municipal",4250,5.5
"450",10301,"OSORNO","Particular Pagado",1303,6
"451",10301,"OSORNO","Particular Subvencionado",6866,5.6
"452",10302,"PUERTO OCTAY","Municipal",358,5.4
"453",10302,"PUERTO OCTAY","Particular Subvencionado",231,5.6
"454",10303,"PURRANQUE","Municipal",461,5.4
"455",10303,"PURRANQUE","Particular Subvencionado",985,5.6
"456",10304,"PUYEHUE","Municipal",749,5.6
"457",10305,"RÍO NEGRO","Municipal",527,5.5
"458",10305,"RÍO NEGRO","Particular Subvencionado",306,5.4
"459",10306,"SAN JUAN DE LA COSTA","Municipal",264,5.5
"460",10306,"SAN JUAN DE LA COSTA","Particular Subvencionado",295,5.5
"461",10307,"SAN PABLO","Municipal",353,5.4
"462",10307,"SAN PABLO","Particular Subvencionado",351,5.4
"463",10401,"CHAITÉN","Municipal",297,5.5
"464",10401,"CHAITÉN","Particular Subvencionado",11,5.4
"465",10402,"FUTALEUFÚ","Municipal",189,6.1
"466",10403,"HUALAIHUÉ","Municipal",528,5.6
"467",10403,"HUALAIHUÉ","Particular Subvencionado",156,5.5
"468",10404,"PALENA","Municipal",114,5.8
"469",11101,"COYHAIQUE","Municipal",1216,5.5
"470",11101,"COYHAIQUE","Particular Subvencionado",3745,5.7
"471",11102,"LAGO VERDE","Municipal",55,5.9
"472",11201,"AYSÉN","Municipal",1201,5.5
"473",11201,"AYSÉN","Particular Subvencionado",959,5.7
"474",11202,"CISNES","Municipal",442,5.7
"475",11202,"CISNES","Particular Subvencionado",12,5.7
"476",11203,"GUAITECAS","Municipal",131,5.8
"477",11301,"COCHRANE","Municipal",270,5.4
"478",11302,"O'HIGGINS","Municipal",57,5.7
"479",11303,"TORTEL","Municipal",47,5.9
"480",11401,"CHILE CHICO","Municipal",384,5.6
"481",11402,"RÍO IBÁÑEZ","Municipal",153,5.8
"482",12101,"PUNTA ARENAS","Municipal",4307,5.7
"483",12101,"PUNTA ARENAS","Particular Pagado",1470,6.1
"484",12101,"PUNTA ARENAS","Particular Subvencionado",3225,5.8
"485",12102,"LAGUNA BLANCA","Municipal",20,6
"486",12103,"RÍO VERDE","Municipal",9,6.4
"487",12104,"SAN GREGORIO","Municipal",27,5.9
"488",12201,"CABO DE HORNOS","Municipal",186,6
"489",12202,"ANTÁRTICA","Municipal",3,6.9
"490",12301,"PORVENIR","Municipal",310,5.6
"491",12301,"PORVENIR","Particular Subvencionado",149,5.9
"492",12302,"PRIMAVERA","Municipal",28,6.2
"493",12303,"TIMAUKEL","Municipal",13,6.4
"494",12401,"NATALES","Municipal",828,5.5
"495",12401,"NATALES","Particular Subvencionado",759,5.9
"496",12402,"TORRES DEL PAINE","Municipal",21,5.6
"497",13101,"SANTIAGO","Municipal",7041,5.5
"498",13101,"SANTIAGO","Particular Pagado",3492,6.1
"499",13101,"SANTIAGO","Particular Subvencionado",11313,5.6
"500",13102,"CERRILLOS","Municipal",1686,5.3
"501",13102,"CERRILLOS","Particular Subvencionado",3136,5.5
"502",13103,"CERRO NAVIA","Particular Subvencionado",4382,5.4
"503",13103,"CERRO NAVIA","Servicio Local de Educación",2916,5.3
"504",13104,"CONCHALÍ","Municipal",3544,5.3
"505",13104,"CONCHALÍ","Particular Pagado",129,4.9
"506",13104,"CONCHALÍ","Particular Subvencionado",5624,5.4
"507",13105,"EL BOSQUE","Municipal",3001,5.2
"508",13105,"EL BOSQUE","Particular Pagado",245,5.8
"509",13105,"EL BOSQUE","Particular Subvencionado",11218,5.4
"510",13106,"ESTACIÓN CENTRAL","Municipal",3578,5.4
"511",13106,"ESTACIÓN CENTRAL","Particular Pagado",730,5.7
"512",13106,"ESTACIÓN CENTRAL","Particular Subvencionado",5544,5.5
"513",13107,"HUECHURABA","Municipal",1487,5.4
"514",13107,"HUECHURABA","Particular Pagado",2797,6
"515",13107,"HUECHURABA","Particular Subvencionado",1839,5.3
"516",13108,"INDEPENDENCIA","Municipal",2242,5.5
"517",13108,"INDEPENDENCIA","Particular Pagado",447,5.8
"518",13108,"INDEPENDENCIA","Particular Subvencionado",4647,5.4
"519",13109,"LA CISTERNA","Municipal",1100,5.4
"520",13109,"LA CISTERNA","Particular Pagado",328,5.8
"521",13109,"LA CISTERNA","Particular Subvencionado",7152,5.5
"522",13110,"LA FLORIDA","Municipal",4426,5.2
"523",13110,"LA FLORIDA","Particular Pagado",3253,6
"524",13110,"LA FLORIDA","Particular Subvencionado",21411,5.5
"525",13111,"LA GRANJA","Municipal",2458,5.2
"526",13111,"LA GRANJA","Particular Subvencionado",5428,5.4
"527",13112,"LA PINTANA","Municipal",2148,5.2
"528",13112,"LA PINTANA","Particular Subvencionado",11794,5.3
"529",13113,"LA REINA","Municipal",1351,5.3
"530",13113,"LA REINA","Particular Pagado",4563,6.1
"531",13113,"LA REINA","Particular Subvencionado",2699,5.5
"532",13114,"LAS CONDES","Municipal",1640,5.5
"533",13114,"LAS CONDES","Particular Pagado",10427,6.1
"534",13114,"LAS CONDES","Particular Subvencionado",1987,5.5
"535",13115,"LO BARNECHEA","Municipal",481,5.3
"536",13115,"LO BARNECHEA","Particular Pagado",5884,6.2
"537",13115,"LO BARNECHEA","Particular Subvencionado",1657,5.5
"538",13116,"LO ESPEJO","Municipal",1979,5.3
"539",13116,"LO ESPEJO","Particular Subvencionado",3022,5.3
"540",13117,"LO PRADO","Particular Subvencionado",3133,5.5
"541",13117,"LO PRADO","Servicio Local de Educación",2123,5.3
"542",13118,"MACUL","Municipal",1759,5.5
"543",13118,"MACUL","Particular Pagado",924,5.8
"544",13118,"MACUL","Particular Subvencionado",3569,5.5
"545",13119,"MAIPÚ","Corporación de Administración Delegada",150,5.6
"546",13119,"MAIPÚ","Municipal",6506,5.4
"547",13119,"MAIPÚ","Particular Pagado",1673,5.9
"548",13119,"MAIPÚ","Particular Subvencionado",27158,5.5
"549",13120,"ÑUÑOA","Municipal",3982,5.6
"550",13120,"ÑUÑOA","Particular Pagado",5150,5.8
"551",13120,"ÑUÑOA","Particular Subvencionado",2665,5.5
"552",13121,"PEDRO AGUIRRE CERDA","Municipal",1773,5.3
"553",13121,"PEDRO AGUIRRE CERDA","Particular Subvencionado",5171,5.4
"554",13122,"PEÑALOLÉN","Municipal",3296,5.2
"555",13122,"PEÑALOLÉN","Particular Pagado",4512,6.1
"556",13122,"PEÑALOLÉN","Particular Subvencionado",6973,5.4
"557",13123,"PROVIDENCIA","Municipal",2417,5.6
"558",13123,"PROVIDENCIA","Particular Pagado",5771,6.1
"559",13123,"PROVIDENCIA","Particular Subvencionado",1325,5.9
"560",13124,"PUDAHUEL","Particular Pagado",528,5.5
"561",13124,"PUDAHUEL","Particular Subvencionado",8438,5.5
"562",13124,"PUDAHUEL","Servicio Local de Educación",4820,5.5
"563",13125,"QUILICURA","Municipal",2982,5.2
"564",13125,"QUILICURA","Particular Pagado",1019,5.8
"565",13125,"QUILICURA","Particular Subvencionado",12474,5.4
"566",13126,"QUINTA NORMAL","Municipal",3984,5.4
"567",13126,"QUINTA NORMAL","Particular Subvencionado",5913,5.5
"568",13127,"RECOLETA","Municipal",3493,5.5
"569",13127,"RECOLETA","Particular Pagado",567,6
"570",13127,"RECOLETA","Particular Subvencionado",7785,5.5
"571",13128,"RENCA","Municipal",3262,5.3
"572",13128,"RENCA","Particular Subvencionado",6653,5.4
"573",13129,"SAN JOAQUÍN","Municipal",1683,5.4
"574",13129,"SAN JOAQUÍN","Particular Subvencionado",2539,5.4
"575",13130,"SAN MIGUEL","Municipal",1305,5.4
"576",13130,"SAN MIGUEL","Particular Pagado",987,5.8
"577",13130,"SAN MIGUEL","Particular Subvencionado",5431,5.6
"578",13131,"SAN RAMÓN","Municipal",1222,5.3
"579",13131,"SAN RAMÓN","Particular Subvencionado",4428,5.4
"580",13132,"VITACURA","Municipal",942,5.6
"581",13132,"VITACURA","Particular Pagado",6689,6
"582",13132,"VITACURA","Particular Subvencionado",186,5.9
"583",13201,"PUENTE ALTO","Municipal",6545,5.3
"584",13201,"PUENTE ALTO","Particular Pagado",1607,5.8
"585",13201,"PUENTE ALTO","Particular Subvencionado",30099,5.5
"586",13202,"PIRQUE","Municipal",1137,5.7
"587",13202,"PIRQUE","Particular Pagado",354,6.1
"588",13203,"SAN JOSÉ DE MAIPO","Municipal",646,5.4
"589",13203,"SAN JOSÉ DE MAIPO","Particular Subvencionado",328,5.5
"590",13301,"COLINA","Municipal",2860,5.3
"591",13301,"COLINA","Particular Pagado",5457,6
"592",13301,"COLINA","Particular Subvencionado",5971,5.4
"593",13302,"LAMPA","Municipal",2073,5.3
"594",13302,"LAMPA","Particular Pagado",344,5.8
"595",13302,"LAMPA","Particular Subvencionado",5719,5.5
"596",13303,"TILTIL","Municipal",662,5.4
